,barcode_assign,barcode_count,droplet_type,total_tag_umi
cell_145,tag_4,1,singlet,1274
cell_146,tag_4,1,singlet,930
cell_147,tag_6,1,singlet,902
cell_148,negative,0,negative,73
cell_149,tag_5,1,singlet,2158
cell_150,tag_2,1,singlet,1117
cell_151,tag_5,1,singlet,501
cell_152,tag_5,1,singlet,1628
cell_153,tag_2,1,singlet,926
cell_154,tag_3,1,singlet,583
cell_155,tag_5,1,singlet,791
cell_156,tag_5,1,singlet,1097
cell_157,tag_6,1,singlet,1379
cell_158,tag_4,1,singlet,1328
cell_159,tag_2,1,singlet,931
cell_160,tag_6,1,singlet,723
cell_161,tag_3,1,singlet,423
cell_162,tag_4,1,singlet,2341
cell_163,tag_1,1,singlet,608
cell_164,multiplet,2,multiplet,1562
cell_165,tag_4,1,singlet,706
cell_166,multiplet,2,multiplet,2785
cell_167,tag_4,1,singlet,1057
cell_168,tag_6,1,singlet,659
cell_169,tag_5,1,singlet,1888
cell_170,multiplet,2,multiplet,1479
cell_171,tag_3,1,singlet,640
cell_172,tag_1,1,singlet,706
cell_173,tag_5,1,singlet,1043
cell_174,multiplet,2,multiplet,2731
cell_175,multiplet,2,multiplet,1323
cell_176,tag_1,1,singlet,588
cell_177,tag_2,1,singlet,1148
cell_178,tag_1,1,singlet,1466
cell_179,multiplet,2,multiplet,1581
cell_180,tag_5,1,singlet,1422
cell_181,tag_4,1,singlet,704
cell_182,tag_4,1,singlet,654
cell_183,tag_5,1,singlet,1143
cell_184,tag_4,1,singlet,757
cell_185,tag_6,1,singlet,819
cell_186,tag_1,1,singlet,1322
cell_187,tag_5,1,singlet,383
cell_188,tag_2,1,singlet,1298
cell_189,tag_5,1,singlet,826
cell_190,tag_3,1,singlet,1151
cell_191,tag_3,1,singlet,467
cell_192,multiplet,2,multiplet,1445
cell_193,tag_3,1,singlet,1468
cell_194,tag_1,1,singlet,1837
cell_195,tag_1,1,singlet,1514
cell_196,tag_2,1,singlet,754
cell_197,tag_4,1,singlet,732
cell_198,tag_5,1,singlet,762
cell_199,tag_3,1,singlet,1111
cell_200,multiplet,2,multiplet,2337
cell_201,tag_4,1,singlet,1500
cell_202,tag_3,1,singlet,819
cell_203,tag_5,1,singlet,1032
cell_204,tag_5,1,singlet,622
cell_205,tag_1,1,singlet,1568
cell_206,tag_3,1,singlet,2107
cell_207,tag_6,1,singlet,580
cell_208,tag_6,1,singlet,1139
cell_209,tag_4,1,singlet,886
cell_210,tag_2,1,singlet,1808
cell_211,tag_5,1,singlet,692
cell_212,tag_3,1,singlet,1672
cell_213,tag_3,1,singlet,713
cell_214,multiplet,2,multiplet,1172
cell_215,tag_6,1,singlet,2030
cell_216,tag_1,1,singlet,788
cell_217,multiplet,2,multiplet,2264
cell_218,tag_4,1,singlet,1288
cell_219,tag_1,1,singlet,1609
cell_220,tag_5,1,singlet,1482
cell_221,tag_3,1,singlet,809
cell_222,tag_1,1,singlet,773
cell_223,negative,0,negative,157
cell_224,tag_1,1,singlet,962
cell_225,tag_3,1,singlet,775
cell_226,tag_5,1,singlet,1386
cell_227,tag_3,1,singlet,282
cell_228,tag_4,1,singlet,1506
cell_229,tag_3,1,singlet,818
cell_230,multiplet,2,multiplet,2778
cell_231,tag_6,1,singlet,980
cell_232,tag_4,1,singlet,954
cell_233,tag_1,1,singlet,601
cell_234,tag_5,1,singlet,1055
cell_235,tag_5,1,singlet,1446
cell_236,tag_5,1,singlet,1867
cell_237,tag_5,1,singlet,1025
cell_238,tag_5,1,singlet,650
cell_239,tag_6,1,singlet,665
cell_240,tag_1,1,singlet,1084
cell_241,negative,0,negative,118
cell_242,tag_4,1,singlet,1547
cell_243,tag_5,1,singlet,681
cell_244,tag_1,1,singlet,1234
cell_245,tag_2,1,singlet,753
cell_246,tag_5,1,singlet,1178
cell_247,tag_6,1,singlet,1499
cell_248,tag_6,1,singlet,505
cell_249,tag_2,1,singlet,1197
cell_250,tag_6,1,singlet,883
cell_251,tag_5,1,singlet,1329
cell_252,tag_4,1,singlet,1244
cell_253,tag_5,1,singlet,560
cell_254,tag_6,1,singlet,743
cell_255,tag_2,1,singlet,750
cell_256,tag_2,1,singlet,1435
cell_257,tag_4,1,singlet,1539
cell_258,tag_6,1,singlet,987
cell_259,multiplet,2,multiplet,3114
cell_260,tag_4,1,singlet,737
cell_261,tag_2,1,singlet,567
cell_262,multiplet,2,multiplet,2331
cell_263,tag_3,1,singlet,783
cell_264,tag_3,1,singlet,1022
cell_265,tag_4,1,singlet,1452
cell_266,multiplet,2,multiplet,2321
cell_267,tag_2,1,singlet,599
cell_268,tag_5,1,singlet,759
cell_269,tag_1,1,singlet,1168
cell_270,tag_5,1,singlet,1501
cell_271,multiplet,2,multiplet,1707
cell_272,tag_3,1,singlet,1378
cell_273,tag_2,1,singlet,1273
cell_274,tag_1,1,singlet,876
cell_275,tag_5,1,singlet,1016
cell_276,tag_3,1,singlet,1585
cell_277,tag_3,1,singlet,1469
cell_278,tag_4,1,singlet,1652
cell_279,tag_1,1,singlet,1654
cell_280,tag_6,1,singlet,1509
cell_281,tag_2,1,singlet,659
cell_282,tag_3,1,singlet,1611
cell_283,tag_3,1,singlet,1288
cell_284,tag_2,1,singlet,772
cell_285,tag_1,1,singlet,688
cell_286,tag_3,1,singlet,2205
cell_287,tag_6,1,singlet,1467
cell_288,tag_1,1,singlet,1249
cell_289,tag_4,1,singlet,1485
cell_290,tag_5,1,singlet,1576
cell_291,tag_5,1,singlet,992
cell_292,tag_2,1,singlet,1749
cell_293,tag_1,1,singlet,879
cell_294,tag_4,1,singlet,1429
cell_295,tag_2,1,singlet,403
cell_296,tag_2,1,singlet,1551
cell_297,tag_6,1,singlet,1153
cell_298,tag_6,1,singlet,1339
cell_299,tag_2,1,singlet,517
cell_300,tag_5,1,singlet,725
cell_301,tag_2,1,singlet,408
cell_302,tag_2,1,singlet,903
cell_303,tag_2,1,singlet,1280
cell_304,tag_5,1,singlet,2147
cell_305,tag_6,1,singlet,934
cell_306,tag_3,1,singlet,501
cell_307,tag_1,1,singlet,1349
cell_308,tag_1,1,singlet,554
cell_309,tag_5,1,singlet,1159
cell_310,tag_1,1,singlet,933
cell_311,tag_3,1,singlet,1177
cell_312,tag_6,1,singlet,1084
cell_313,tag_1,1,singlet,1376
cell_314,tag_2,1,singlet,1818
cell_315,tag_6,1,singlet,1640
cell_316,tag_3,1,singlet,1708
cell_317,tag_1,1,singlet,1012
cell_318,tag_1,1,singlet,1783
cell_319,tag_6,1,singlet,640
cell_320,tag_5,1,singlet,501
cell_321,tag_3,1,singlet,808
cell_322,tag_3,1,singlet,460
cell_323,multiplet,2,multiplet,1566
cell_324,tag_2,1,singlet,763
cell_325,tag_5,1,singlet,1218
cell_326,tag_2,1,singlet,748
cell_327,tag_6,1,singlet,902
cell_328,tag_2,1,singlet,812
cell_329,tag_5,1,singlet,925
cell_330,tag_1,1,singlet,810
cell_331,tag_6,1,singlet,421
cell_332,tag_3,1,singlet,1886
cell_333,tag_3,1,singlet,608
cell_334,tag_5,1,singlet,1295
cell_335,tag_5,1,singlet,619
cell_336,multiplet,2,multiplet,2281
cell_337,tag_1,1,singlet,1681
cell_338,tag_6,1,singlet,931
cell_339,tag_6,1,singlet,734
cell_340,tag_2,1,singlet,759
cell_341,tag_3,1,singlet,657
cell_342,tag_4,1,singlet,654
cell_343,tag_3,1,singlet,1089
cell_344,tag_4,1,singlet,922
cell_345,tag_3,1,singlet,847
cell_346,tag_1,1,singlet,778
cell_347,tag_3,1,singlet,536
cell_348,tag_2,1,singlet,1332
cell_349,tag_3,1,singlet,1508
cell_350,tag_6,1,singlet,738
cell_351,tag_5,1,singlet,886
cell_352,tag_3,1,singlet,1178
cell_353,tag_1,1,singlet,1046
cell_354,negative,0,negative,108
cell_355,tag_4,1,singlet,761
cell_356,tag_3,1,singlet,1213
cell_357,tag_5,1,singlet,1135
cell_358,tag_4,1,singlet,758
cell_359,tag_4,1,singlet,585
cell_360,multiplet,2,multiplet,2172
cell_361,tag_5,1,singlet,445
cell_362,tag_2,1,singlet,1402
cell_363,tag_2,1,singlet,415
cell_364,tag_5,1,singlet,1474
cell_365,tag_1,1,singlet,768
cell_366,tag_5,1,singlet,1214
cell_367,tag_6,1,singlet,1892
cell_368,tag_6,1,singlet,253
cell_369,negative,0,negative,97
cell_370,multiplet,2,multiplet,1093
cell_371,tag_3,1,singlet,886
cell_372,tag_4,1,singlet,1353
cell_373,tag_3,1,singlet,525
cell_374,tag_5,1,singlet,1061
cell_375,tag_1,1,singlet,1682
cell_376,tag_3,1,singlet,1253
cell_377,tag_2,1,singlet,1319
cell_378,tag_3,1,singlet,1834
cell_379,negative,0,negative,74
cell_380,tag_1,1,singlet,941
cell_381,tag_2,1,singlet,444
cell_382,tag_3,1,singlet,1641
cell_383,negative,0,negative,158
cell_384,tag_1,1,singlet,924
cell_385,tag_5,1,singlet,1350
cell_386,tag_6,1,singlet,982
cell_387,tag_2,1,singlet,1593
cell_388,tag_1,1,singlet,901
cell_389,tag_2,1,singlet,1071
cell_390,tag_4,1,singlet,982
cell_391,tag_1,1,singlet,1252
cell_392,tag_2,1,singlet,1531
cell_393,tag_3,1,singlet,863
cell_394,tag_1,1,singlet,837
cell_395,tag_6,1,singlet,350
cell_396,tag_1,1,singlet,598
cell_397,tag_1,1,singlet,1120
cell_398,tag_1,1,singlet,1023
cell_399,tag_6,1,singlet,458
cell_400,tag_5,1,singlet,822
cell_401,tag_4,1,singlet,1150
cell_402,tag_1,1,singlet,1307
cell_403,tag_6,1,singlet,938
cell_404,tag_4,1,singlet,565
cell_405,tag_1,1,singlet,883
cell_406,tag_2,1,singlet,1275
cell_407,tag_1,1,singlet,1268
cell_408,tag_3,1,singlet,887
cell_409,tag_4,1,singlet,1488
cell_410,tag_3,1,singlet,997
cell_411,tag_5,1,singlet,1125
cell_412,negative,0,negative,162
cell_413,tag_6,1,singlet,833
cell_414,tag_6,1,singlet,1154
cell_415,tag_6,1,singlet,1119
cell_416,tag_3,1,singlet,2672
cell_417,tag_5,1,singlet,1190
cell_418,multiplet,2,multiplet,2060
cell_419,tag_5,1,singlet,692
cell_420,tag_3,1,singlet,1664
cell_421,tag_4,1,singlet,2197
cell_422,tag_5,1,singlet,647
cell_423,tag_1,1,singlet,792
cell_424,tag_3,1,singlet,1269
cell_425,tag_2,1,singlet,572
cell_426,tag_3,1,singlet,880
cell_427,tag_3,1,singlet,1004
cell_428,negative,0,negative,141
cell_429,tag_6,1,singlet,887
cell_430,tag_5,1,singlet,1174
cell_431,tag_1,1,singlet,586
cell_432,tag_6,1,singlet,1091
cell_433,tag_3,1,singlet,1230
cell_434,tag_6,1,singlet,605
cell_435,tag_5,1,singlet,1719
cell_436,tag_5,1,singlet,787
cell_437,tag_6,1,singlet,555
cell_438,tag_2,1,singlet,719
cell_439,tag_2,1,singlet,1244
cell_440,tag_5,1,singlet,1593
cell_441,tag_4,1,singlet,1083
cell_442,tag_5,1,singlet,1181
cell_443,tag_6,1,singlet,956
cell_444,tag_5,1,singlet,1136
cell_445,negative,0,negative,87
cell_446,tag_5,1,singlet,945
cell_447,multiplet,2,multiplet,1306
cell_448,tag_1,1,singlet,720
cell_449,multiplet,2,multiplet,1865
cell_450,negative,0,negative,136
cell_451,multiplet,2,multiplet,2307
cell_452,tag_3,1,singlet,1542
cell_453,tag_3,1,singlet,759
cell_454,tag_2,1,singlet,1461
cell_455,tag_4,1,singlet,1476
cell_456,multiplet,2,multiplet,3961
cell_457,negative,0,negative,62
cell_458,tag_6,1,singlet,1549
cell_459,tag_6,1,singlet,2680
cell_460,tag_1,1,singlet,928
cell_461,tag_2,1,singlet,724
cell_462,tag_4,1,singlet,567
cell_463,multiplet,2,multiplet,1219
cell_464,tag_5,1,singlet,1446
cell_465,multiplet,2,multiplet,1695
cell_466,tag_5,1,singlet,1222
cell_467,tag_1,1,singlet,656
cell_468,tag_3,1,singlet,1382
cell_469,tag_6,1,singlet,1292
cell_470,tag_2,1,singlet,459
cell_471,tag_1,1,singlet,1808
cell_472,tag_3,1,singlet,472
cell_473,tag_4,1,singlet,1099
cell_474,negative,0,negative,101
cell_475,negative,0,negative,137
cell_476,tag_4,1,singlet,1086
cell_477,tag_3,1,singlet,791
cell_478,tag_6,1,singlet,639
cell_479,multiplet,2,multiplet,1537
cell_480,tag_2,1,singlet,916
cell_481,tag_4,1,singlet,2141
cell_482,tag_1,1,singlet,1127
cell_483,tag_5,1,singlet,1259
cell_484,tag_6,1,singlet,1137
cell_485,tag_4,1,singlet,1777
cell_486,tag_3,1,singlet,970
cell_487,tag_4,1,singlet,1515
cell_488,tag_6,1,singlet,2392
cell_489,tag_4,1,singlet,1272
cell_490,tag_1,1,singlet,958
cell_491,tag_2,1,singlet,615
cell_492,tag_5,1,singlet,1399
cell_493,negative,0,negative,67
cell_494,negative,0,negative,75
cell_495,tag_2,1,singlet,2303
cell_496,tag_3,1,singlet,501
cell_497,tag_3,1,singlet,622
cell_498,tag_3,1,singlet,1037
cell_499,tag_4,1,singlet,831
cell_500,tag_5,1,singlet,731
