,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6
cell_66,43,9,1219,2,50,13
cell_67,46,8,8,53,32,16
cell_68,45,44,476,66,55,11
cell_69,51,29,37,44,994,29
cell_70,8,17,1627,1201,4,37
cell_71,20,14,5,600,7,24
cell_72,67,16,13,18,10,1028
cell_73,9,5,867,23,1170,26
cell_74,24,1629,24,6,4,9
cell_75,37,9,12,1082,9,14
cell_76,10,17,589,17,23,3
cell_77,74,623,17,14,8,31
cell_78,24,1212,19,14,17,43
cell_79,9,1219,7,5,21,11
cell_80,29,13,15,542,14,16
cell_81,11,1,22,14,664,9
cell_82,32,27,1041,1294,6,14
cell_83,19,1046,13,17,12,22
cell_84,14,49,21,16,49,9
cell_85,6,883,8,22,14,8
cell_86,37,13,10,4,12,19
cell_87,47,1353,35,30,7,26
cell_88,9,10,27,27,30,967
cell_89,897,4,29,18,16,6
cell_90,37,17,13,49,467,35
cell_91,25,25,11,31,1172,10
cell_92,903,15,5,7,16,12
cell_93,10,6,30,33,23,1277
cell_94,15,960,11,853,53,32
cell_95,5,15,48,19,33,1112
cell_96,15,567,9,12,23,18
cell_97,6,15,27,389,16,1468
cell_98,18,709,16,1661,14,11
cell_99,11,995,6,24,6,20
cell_100,28,44,56,1323,32,47
cell_101,4,5,1439,11,9,3
cell_102,776,27,9,15,31,23
cell_103,813,15,11,8,32,20
cell_104,21,845,54,3,40,18
cell_105,11,837,16,20,9,2
cell_106,5,12,20,23,471,17
cell_107,23,4,16,920,26,0
cell_108,17,14,15,41,964,9
cell_109,11,50,10,22,8,1646
cell_110,11,2128,29,15,20,52
cell_111,15,14,15,50,27,904
cell_112,9,20,51,36,433,771
cell_113,31,19,4,52,12,44
cell_114,10,33,831,27,31,20
cell_115,53,26,5,29,21,2381
cell_116,17,34,44,28,0,18
cell_117,27,7,46,682,29,41
cell_118,14,23,20,1141,4,60
cell_119,59,1208,8,13,28,16
cell_120,10,18,9,11,62,805
cell_121,39,9,12,9,45,1409
cell_122,971,4,34,34,17,25
cell_123,758,7,27,31,8,38
cell_124,1,14,8,9,21,10
cell_125,1406,25,754,11,28,14
cell_126,30,21,2,54,893,42
cell_127,3,8,1055,29,19,6
cell_128,27,9,30,616,28,18
cell_129,21,10,37,1102,20,27
cell_130,15,57,29,13,1,1282
cell_131,11,27,653,22,6,20
cell_132,28,576,13,6,22,19
cell_133,24,565,41,15,24,8
cell_134,1,13,21,5,21,1406
cell_135,15,15,15,12,4,1316
cell_136,0,0,1,5,530,35
cell_137,8,21,11,6,25,1833
cell_138,28,21,28,19,9,676
cell_139,14,8,78,12,26,11
cell_140,14,1699,9,88,13,8
cell_141,51,8,20,1271,5,11
cell_142,10,27,39,45,1366,8
cell_143,8,11,13,16,982,21
cell_144,36,17,11,50,655,5
cell_145,6,30,38,1124,43,33
cell_146,17,17,14,839,20,23
cell_147,16,25,18,63,64,716
cell_148,14,8,8,24,6,13
cell_149,33,1,36,11,2054,23
cell_150,13,994,12,51,30,17
cell_151,18,28,26,53,321,55
cell_152,168,21,28,13,1347,51
cell_153,41,782,66,8,21,8
cell_154,22,23,477,47,6,8
cell_155,15,19,34,19,679,25
cell_156,43,19,4,32,985,14
cell_157,15,42,9,20,54,1239
cell_158,22,8,27,1221,30,20
cell_159,16,822,6,29,54,4
cell_160,51,27,33,21,20,571
cell_161,13,11,308,14,26,51
cell_162,7,6,19,2277,15,17
cell_163,548,13,2,18,13,14
cell_164,28,29,750,81,669,5
cell_165,2,12,12,657,14,9
cell_166,29,36,1296,3,3,1418
cell_167,3,31,32,932,51,8
cell_168,9,5,11,28,3,603
cell_169,19,15,62,34,1754,4
cell_170,377,9,2,2,3,1086
cell_171,20,7,584,5,14,10
cell_172,631,7,5,17,35,11
cell_173,7,27,11,15,977,6
cell_174,5,28,29,1755,46,868
cell_175,7,5,988,9,302,12
cell_176,470,17,24,17,42,18
cell_177,20,975,61,53,24,15
cell_178,1348,26,31,16,39,6
cell_179,33,32,19,8,1069,420
cell_180,18,11,5,11,1370,7
cell_181,3,32,18,642,6,3
cell_182,35,25,11,575,1,7
cell_183,21,12,30,3,1054,23
cell_184,27,7,11,694,10,8
cell_185,8,30,27,36,6,712
cell_186,1242,3,5,46,20,6
cell_187,36,25,10,7,297,8
cell_188,36,1186,19,16,7,34
cell_189,56,86,5,37,625,17
cell_190,41,25,1003,21,32,29
cell_191,18,28,339,23,33,26
cell_192,30,9,453,9,0,944
cell_193,14,38,1306,25,37,48
cell_194,1769,16,32,4,7,9
cell_195,1453,3,16,27,9,6
cell_196,72,638,6,24,4,10
cell_197,33,21,27,640,3,8
cell_198,14,3,5,21,699,20
cell_199,20,24,1029,4,18,16
cell_200,948,4,11,14,1345,15
cell_201,11,26,17,1428,4,14
cell_202,43,35,676,49,1,15
cell_203,3,5,13,30,947,34
cell_204,36,11,10,27,520,18
cell_205,1419,26,35,4,71,13
cell_206,2,8,2002,37,50,8
cell_207,2,13,10,6,35,514
cell_208,45,22,23,10,10,1029
cell_209,41,6,5,815,10,9
cell_210,20,1740,17,11,11,9
cell_211,12,18,10,8,614,30
cell_212,9,13,1605,20,10,15
cell_213,10,13,629,23,21,17
cell_214,22,19,4,32,489,606
cell_215,7,5,28,13,21,1956
cell_216,730,28,17,7,2,4
cell_217,17,1442,1,17,774,13
cell_218,45,18,15,1168,12,30
cell_219,1522,19,26,10,9,23
cell_220,26,23,37,5,1384,7
cell_221,17,5,685,21,7,74
cell_222,678,21,10,23,14,27
cell_223,76,45,15,7,7,7
cell_224,889,23,29,13,3,5
cell_225,8,9,675,24,33,26
cell_226,35,2,9,6,1309,25
cell_227,16,21,197,5,30,13
cell_228,64,15,40,1349,27,11
cell_229,9,5,738,10,10,46
cell_230,764,16,1952,23,9,14
cell_231,18,38,7,7,35,875
cell_232,18,8,6,847,32,43
cell_233,496,7,24,28,13,33
cell_234,8,14,11,26,983,13
cell_235,14,23,31,14,1337,27
cell_236,24,7,24,5,1803,4
cell_237,10,14,29,10,941,21
cell_238,27,18,29,22,532,22
cell_239,34,23,13,25,3,567
cell_240,1032,3,19,16,6,8
cell_241,25,12,23,0,7,51
cell_242,58,29,2,1407,20,31
cell_243,9,14,10,25,620,3
cell_244,1131,26,28,16,28,5
cell_245,29,679,3,14,3,25
cell_246,25,16,13,12,1089,23
cell_247,1,12,19,7,25,1435
cell_248,55,16,5,4,11,414
cell_249,32,1067,6,8,34,50
cell_250,9,15,27,10,3,819
cell_251,29,14,7,51,1209,19
cell_252,20,49,2,1127,29,17
cell_253,35,37,7,41,427,13
cell_254,21,4,23,30,6,659
cell_255,17,672,19,3,6,33
cell_256,8,1313,52,27,11,24
cell_257,7,13,2,1459,30,28
cell_258,20,67,4,42,17,837
cell_259,980,51,14,11,14,2044
cell_260,24,26,17,627,24,19
cell_261,28,472,7,16,18,26
cell_262,1681,605,27,7,8,3
cell_263,41,27,658,12,9,36
cell_264,29,30,878,59,13,13
cell_265,37,26,26,1312,40,11
cell_266,9,1241,47,970,41,13
cell_267,10,511,38,11,22,7
cell_268,9,11,33,17,666,23
cell_269,1090,19,9,14,18,18
cell_270,12,38,20,2,1407,22
cell_271,1031,36,14,555,43,28
cell_272,34,51,1203,25,26,39
cell_273,3,1170,32,42,2,24
cell_274,787,31,31,7,8,12
cell_275,9,0,21,16,970,0
cell_276,7,21,1523,25,3,6
cell_277,12,17,1382,9,10,39
cell_278,14,35,9,1545,42,7
cell_279,1586,21,12,10,10,15
cell_280,35,26,1,21,9,1417
cell_281,22,581,10,29,10,7
cell_282,26,22,1529,9,16,9
cell_283,5,10,1218,4,39,12
cell_284,1,699,6,12,24,30
cell_285,613,5,11,12,9,38
cell_286,3,9,2152,18,9,14
cell_287,9,12,13,19,6,1408
cell_288,1181,11,18,6,10,23
cell_289,42,28,1,1364,24,26
cell_290,23,44,30,11,1440,28
cell_291,8,25,15,8,928,8
cell_292,36,1598,49,35,6,25
cell_293,828,16,5,6,19,5
cell_294,15,14,16,1345,19,20
cell_295,15,310,25,23,5,25
cell_296,47,1424,10,34,21,15
cell_297,4,34,24,32,6,1053
cell_298,20,22,20,41,26,1210
cell_299,19,434,10,18,24,12
cell_300,2,39,24,4,643,13
cell_301,4,305,11,10,14,64
cell_302,87,727,36,28,19,6
cell_303,20,1231,10,9,3,7
cell_304,46,16,11,10,2048,16
cell_305,4,3,47,12,18,850
cell_306,3,10,396,20,17,55
cell_307,1268,13,13,48,1,6
cell_308,448,35,4,20,11,36
cell_309,13,4,49,6,1078,9
cell_310,862,17,5,2,26,21
cell_311,15,59,1033,57,5,8
cell_312,2,26,6,11,34,1005
cell_313,1284,50,8,0,10,24
cell_314,23,1748,11,5,16,15
cell_315,32,38,11,13,42,1504
cell_316,43,33,1595,6,6,25
cell_317,946,28,15,12,7,4
cell_318,1668,40,9,25,16,25
cell_319,35,13,10,44,28,510
cell_320,12,40,22,10,389,28
cell_321,19,10,745,6,20,8
cell_322,9,26,362,26,24,13
cell_323,866,3,603,5,52,37
cell_324,46,687,12,15,1,2
cell_325,23,29,17,26,1065,58
cell_326,22,679,6,3,22,16
cell_327,14,33,25,9,14,807
cell_328,12,651,55,29,39,26
cell_329,16,21,39,27,798,24
cell_330,719,13,13,23,27,15
cell_331,7,17,50,22,9,316
cell_332,23,8,1826,1,20,8
cell_333,54,4,468,21,33,28
cell_334,72,31,0,11,1158,23
cell_335,59,15,12,12,516,5
cell_336,22,4,43,1178,1010,24
cell_337,1595,44,9,13,12,8
cell_338,7,8,8,14,10,884
cell_339,16,5,8,11,23,671
cell_340,10,667,29,12,25,16
cell_341,3,50,532,10,23,39
cell_342,8,12,35,568,23,8
cell_343,14,15,1032,2,4,22
cell_344,16,58,5,831,10,2
cell_345,2,35,747,29,10,24
cell_346,735,12,9,7,8,7
cell_347,24,29,435,20,17,11
cell_348,7,1230,26,40,27,2
cell_349,26,18,1389,21,29,25
cell_350,18,22,10,21,11,656
cell_351,12,8,21,14,824,7
cell_352,34,33,1049,17,1,44
cell_353,973,8,12,10,26,17
cell_354,21,7,35,15,11,19
cell_355,14,4,63,634,21,25
cell_356,5,22,1107,13,46,20
cell_357,11,28,36,10,1010,40
cell_358,5,36,18,665,12,22
cell_359,26,49,8,454,6,42
cell_360,44,1685,411,16,6,10
cell_361,22,3,7,26,371,16
cell_362,2,1350,12,17,13,8
cell_363,15,325,20,12,24,19
cell_364,9,12,7,49,1381,16
cell_365,663,12,31,24,5,33
cell_366,9,22,19,26,1107,31
cell_367,10,6,11,21,7,1837
cell_368,17,9,17,5,22,183
cell_369,33,8,16,24,14,2
cell_370,33,23,26,582,406,23
cell_371,6,30,760,42,44,4
cell_372,2,33,7,1257,30,24
cell_373,23,13,427,7,33,22
cell_374,18,17,23,49,937,17
cell_375,1614,9,38,7,13,1
cell_376,2,39,1153,12,5,42
cell_377,17,1251,26,6,10,9
cell_378,6,20,1688,39,46,35
cell_379,2,10,21,10,11,20
cell_380,838,14,8,11,48,22
cell_381,12,370,13,20,18,11
cell_382,13,37,1479,48,62,2
cell_383,23,8,18,35,38,36
cell_384,804,13,40,5,52,10
cell_385,45,40,2,33,1220,10
cell_386,29,11,43,7,5,887
cell_387,12,1495,16,8,9,53
cell_388,792,12,40,4,11,42
cell_389,3,972,27,37,12,20
cell_390,1,9,11,924,14,23
cell_391,1118,32,32,7,18,45
cell_392,20,1414,26,10,30,31
cell_393,6,27,713,2,49,66
cell_394,707,49,1,41,27,12
cell_395,11,10,8,30,5,286
cell_396,545,3,5,20,17,8
cell_397,1018,47,10,12,6,27
cell_398,967,9,6,10,26,5
cell_399,24,12,15,33,30,344
cell_400,12,54,16,14,713,13
cell_401,36,8,3,1065,17,21
cell_402,1161,50,41,4,22,29
cell_403,3,30,11,2,40,852
cell_404,9,13,30,456,32,25
cell_405,747,24,29,30,24,29
cell_406,90,1055,60,26,27,17
cell_407,1213,19,6,10,5,15
cell_408,19,50,753,30,22,13
cell_409,10,5,56,1376,1,40
cell_410,8,15,875,26,5,68
cell_411,12,6,52,22,1025,8
cell_412,63,37,11,12,23,16
cell_413,27,17,50,85,21,633
cell_414,20,13,28,18,2,1073
cell_415,10,5,19,14,5,1066
cell_416,12,11,2590,26,12,21
cell_417,23,19,6,6,1050,86
cell_418,10,1209,785,14,22,20
cell_419,8,31,29,13,602,9
cell_420,23,12,1574,6,21,28
cell_421,11,4,30,2117,30,5
cell_422,34,35,9,16,534,19
cell_423,703,10,7,23,9,40
cell_424,22,4,1182,13,3,45
cell_425,13,503,27,13,10,6
cell_426,2,9,805,15,41,8
cell_427,22,5,926,3,20,28
cell_428,21,29,42,28,14,7
cell_429,6,16,4,16,17,828
cell_430,37,17,8,39,1048,25
cell_431,512,19,22,14,16,3
cell_432,22,10,7,12,27,1013
cell_433,35,29,1080,3,42,41
cell_434,4,32,15,48,7,499
cell_435,47,18,18,12,1599,25
cell_436,7,14,32,52,659,23
cell_437,14,26,11,25,9,470
cell_438,34,614,9,17,9,36
cell_439,10,1171,8,14,37,4
cell_440,28,11,24,13,1514,3
cell_441,2,0,0,1029,39,13
cell_442,33,7,87,29,995,30
cell_443,0,4,13,16,19,904
cell_444,38,53,5,23,1013,4
cell_445,11,17,10,25,14,10
cell_446,34,16,21,14,818,42
cell_447,531,13,710,22,14,16
cell_448,656,28,9,10,9,8
cell_449,6,57,407,1289,31,75
cell_450,40,26,36,9,9,16
cell_451,25,35,1669,536,12,30
cell_452,34,12,1428,22,33,13
cell_453,7,19,685,15,19,14
cell_454,29,1334,16,61,12,9
cell_455,26,11,11,1391,2,35
cell_456,1997,23,13,1885,4,39
cell_457,12,7,10,10,6,17
cell_458,31,3,28,62,35,1390
cell_459,28,73,4,12,15,2548
cell_460,815,0,51,26,7,29
cell_461,25,602,14,38,28,17
cell_462,6,3,19,491,23,25
cell_463,13,1,917,22,249,17
cell_464,10,25,17,4,1349,41
cell_465,857,10,9,33,26,760
cell_466,20,24,7,44,1104,23
cell_467,558,33,4,11,9,41
cell_468,12,23,1320,16,1,10
cell_469,18,40,4,14,7,1209
cell_470,8,361,9,8,36,37
cell_471,1759,5,17,11,4,12
cell_472,22,8,395,24,11,12
cell_473,7,27,9,1048,6,2
cell_474,3,29,11,19,11,28
cell_475,26,23,11,10,48,19
cell_476,10,25,21,985,4,41
cell_477,20,8,695,22,34,12
cell_478,17,25,13,6,19,559
cell_479,9,55,8,673,790,2
cell_480,36,840,7,19,13,1
cell_481,38,3,8,2037,35,20
cell_482,1003,29,25,36,11,23
cell_483,17,31,20,10,1137,44
cell_484,23,10,21,44,19,1020
cell_485,12,4,44,1655,34,28
cell_486,13,18,881,18,21,19
cell_487,27,45,7,1369,56,11
cell_488,21,19,25,17,8,2302
cell_489,11,19,16,1167,31,28
cell_490,855,11,4,34,31,23
cell_491,18,520,34,17,13,13
cell_492,40,25,22,6,1300,6
cell_493,6,32,9,3,11,6
cell_494,8,31,5,12,6,13
cell_495,7,2211,19,3,38,25
cell_496,14,19,406,31,15,16
cell_497,2,23,479,24,32,62
cell_498,11,25,925,19,30,27
cell_499,19,35,19,694,9,55
cell_500,14,13,13,29,654,8
