,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6
cell_163,41,7,8,7,1,817
cell_164,10,13,13,12,8,29
cell_165,2,17,350,31,4,16
cell_166,11,474,14,10,17,2
cell_167,614,13,23,10,21,23
cell_168,45,1114,21,11,20,25
cell_169,7,2,39,36,7,424
cell_170,53,11,1780,17,18,16
cell_171,17,709,12,16,15,115
cell_172,47,12,562,6,21,20
cell_173,910,30,11,17,17,55
cell_174,11,2,875,29,8,33
cell_175,30,35,28,33,20,18
cell_176,6,28,50,12,21,506
cell_177,962,14,29,43,28,11
cell_178,32,445,31,14,41,6
cell_179,10,30,697,69,15,34
cell_180,78,5,43,1171,4,42
cell_181,8,38,36,2570,26,79
cell_182,14,13,11,3,47,992
cell_183,15,37,6,25,91,1295
cell_184,19,4,18,19,2,711
cell_185,9,8,5,10,27,1491
cell_186,10,10,928,14,5,7
cell_187,62,642,10,3,54,19
cell_188,24,10,19,4,934,20
cell_189,565,7,10,8,26,519
cell_190,21,1034,16,17,25,29
cell_191,29,459,40,13,44,75
cell_192,48,18,23,780,24,2
cell_193,8,9,13,21,552,7
cell_194,23,11,829,35,13,18
cell_195,8,1645,13,16,28,7
cell_196,18,3,897,46,36,5
cell_197,12,10,4,1482,836,51
cell_198,8,4,2,24,16,2
cell_199,703,41,16,15,23,22
cell_200,45,30,33,656,14,5
cell_201,56,4,1,1,1532,9
cell_202,26,18,1037,5,3,23
cell_203,1,6,21,43,6,447
cell_204,1,1022,25,15,3,1799
cell_205,23,10,27,5,4,606
cell_206,15,0,356,27,18,10
cell_207,3,9,1695,37,2,11
cell_208,9,1564,9,9,42,20
cell_209,17,0,14,15,29,1125
cell_210,12,7,22,24,31,834
cell_211,25,1036,19,45,9,32
cell_212,17,1002,8,23,398,47
cell_213,5,18,991,15,23,24
cell_214,4,11,1659,15,27,3
cell_215,55,11,732,13,15,8
cell_216,53,8,10,1191,27,39
cell_217,9,6,5,15,729,3
cell_218,23,18,28,2204,6,47
cell_219,41,1162,13,15,3,4
cell_220,28,29,853,18,27,10
cell_221,168,15,18,6,8,9
cell_222,21,18,26,1189,5,12
cell_223,19,4,0,1089,11,22
cell_224,39,6,17,10,0,1263
cell_225,18,11,2,3,14,997
cell_226,13,19,1678,8,26,14
cell_227,1462,8,14,2483,23,11
cell_228,1141,8,531,45,8,4
cell_229,16,1507,26,12,13,4
cell_230,12,12,1,942,11,4
cell_231,651,23,14,36,19,5
cell_232,1380,10,19,14,5,2
cell_233,36,6,52,16,45,929
cell_234,8,946,4,24,6,8
cell_235,1386,22,31,14,9,1286
cell_236,42,4,20,8,1367,45
cell_237,5,36,1478,68,27,14
cell_238,31,472,8,48,41,17
cell_239,9,17,39,317,17,23
cell_240,522,7,39,25,22,5
cell_241,22,1547,19,100,25,82
cell_242,226,13,39,36,62,22
cell_243,20,709,28,13,5,33
cell_244,512,20,9,27,26,16
cell_245,839,37,14,16,8,19
cell_246,28,1,34,4,17,971
cell_247,836,1,42,5,7,40
cell_248,1249,5,33,30,6,6
cell_249,18,5,23,768,28,17
cell_250,7,12,13,20,696,8
cell_251,49,946,27,8,2,1053
cell_252,3,740,8,24,8,66
cell_253,45,247,13,13,59,10
cell_254,32,263,16,0,8,21
cell_255,9,16,42,50,508,12
cell_256,14,19,42,5,11,882
cell_257,33,20,4,4,574,1
cell_258,62,13,2,46,375,19
cell_259,19,40,4,20,430,33
cell_260,9,24,15,13,23,1241
cell_261,6,39,11,50,1438,45
cell_262,28,12,1,1234,9,6
cell_263,33,7,1664,28,11,29
cell_264,36,25,55,1,866,7
cell_265,25,18,4,17,41,928
cell_266,1424,20,31,10,16,4
cell_267,14,5,27,5,1879,35
cell_268,3,20,919,0,23,11
cell_269,7,12,283,7,2,24
cell_270,39,13,6,8,14,207
cell_271,2398,4,27,26,6,16
cell_272,24,33,12,27,1261,26
cell_273,56,21,30,993,27,16
cell_274,20,15,28,12,746,15
cell_275,25,18,7,3,16,25
cell_276,819,35,11,13,35,74
cell_277,2173,8,44,37,768,5
cell_278,10,848,13,41,8,21
cell_279,27,26,14,31,368,36
cell_280,27,26,8,19,1183,8
cell_281,5,50,6,13,1007,18
cell_282,6,12,5,30,37,1088
cell_283,44,6,11,835,27,40
cell_284,56,10,9,16,47,517
cell_285,734,3,15,15,11,21
cell_286,888,22,47,833,34,16
cell_287,49,6,8,8,412,19
cell_288,758,35,15,12,49,32
cell_289,15,19,1417,27,31,13
cell_290,20,1171,30,33,15,36
cell_291,16,17,1307,11,23,15
cell_292,9,15,12,20,5,2453
cell_293,1048,33,8,1,26,2
cell_294,1029,11,33,19,18,57
cell_295,42,19,14,17,25,875
cell_296,19,55,688,26,76,14
cell_297,25,26,17,16,6,1966
cell_298,15,14,106,35,21,808
cell_299,36,2306,1,8,48,24
cell_300,363,17,31,32,4,4
cell_301,5,18,728,44,10,20
cell_302,6,17,4,1231,22,13
cell_303,12,7,1539,28,52,18
cell_304,27,1040,24,28,24,5
cell_305,65,20,2,1269,27,7
cell_306,24,1,32,13,32,577
cell_307,15,24,1043,21,6,22
cell_308,12,14,1089,31,27,14
cell_309,14,628,6,19,13,32
cell_310,746,14,23,19,16,15
cell_311,14,22,20,1643,58,21
cell_312,1021,54,16,43,59,24
cell_313,15,25,20,853,16,23
cell_314,4,1060,35,20,29,44
cell_315,1,13,811,35,25,18
cell_316,9,27,14,11,23,1395
cell_317,1342,11,40,44,9,440
cell_318,13,437,0,23,392,27
cell_319,984,6,18,11,15,31
cell_320,5,23,14,5,7,12
cell_321,8,1282,16,13,21,14
cell_322,24,1611,5,14,44,4
cell_323,18,8,16,11,978,42
cell_324,7,12,12,4,587,21
cell_325,25,8,434,1,16,15
cell_326,10,17,20,24,485,15
cell_327,24,5,17,8,493,20
cell_328,28,49,57,377,34,2
cell_329,16,1793,52,31,9,1235
cell_330,9,10,13,2034,5,13
cell_331,10,9,684,48,1038,17
cell_332,7,8,32,21,34,380
cell_333,12,20,18,975,25,14
cell_334,1,5,13,485,32,11
cell_335,11,39,32,18,768,54
cell_336,1121,30,31,6,3,12
cell_337,53,51,5,686,15,32
cell_338,38,34,33,5,10,973
cell_339,790,53,7,21,23,17
cell_340,15,22,5,7,24,778
cell_341,9,39,1,8,602,691
cell_342,30,3,37,809,7,7
cell_343,16,1403,37,2,19,10
cell_344,0,1591,26,15,20,20
cell_345,10,1247,16,564,39,19
cell_346,1,25,11,19,611,431
cell_347,523,28,9,13,3,7
cell_348,11,1517,26,2,12,13
cell_349,70,21,18,7,1009,29
cell_350,1103,1,19,21,10,22
cell_351,40,17,801,12,38,25
cell_352,32,37,13,5,30,1000
cell_353,77,39,4,59,17,1150
cell_354,2,6,11,69,31,1140
cell_355,5,49,11,541,11,41
cell_356,1,24,32,25,37,10
cell_357,8,0,74,24,15,16
cell_358,25,741,10,22,19,28
cell_359,639,37,4,23,22,11
cell_360,26,1,47,1218,13,28
cell_361,11,30,3,6,1,895
cell_362,6,1079,15,23,36,1208
cell_363,971,8,11,14,13,7
cell_364,3,15,652,7,3,12
cell_365,2158,2,25,7,24,37
cell_366,9,34,56,6,1246,48
cell_367,51,620,37,41,7,5
cell_368,14,11,1079,9,13,26
cell_369,18,3,4,9,14,1500
cell_370,16,7,28,27,981,44
cell_371,2,1,9,668,5,27
cell_372,7,1046,41,3,18,22
cell_373,37,44,523,14,20,16
cell_374,8,17,1350,33,4,7
cell_375,592,6,29,24,15,32
cell_376,23,1559,25,32,27,59
cell_377,27,14,1115,45,11,72
cell_378,12,6,47,9,12,837
cell_379,20,7,5,24,15,347
cell_380,29,68,28,63,8,26
cell_381,8,20,1026,6,28,11
cell_382,1318,21,3,18,45,29
cell_383,16,24,407,8,19,1
cell_384,4,15,1261,4,3,7
cell_385,3,19,931,6,899,12
cell_386,698,10,8,17,44,4
cell_387,28,16,21,572,10,6
cell_388,6,28,20,65,13,1046
cell_389,978,14,6,29,21,14
cell_390,33,1269,25,16,48,24
cell_391,33,8,58,15,1385,2
cell_392,1150,12,10,8,18,17
cell_393,19,48,1611,26,51,11
cell_394,16,3,36,9,15,1471
cell_395,29,629,7,12,8,949
cell_396,27,0,18,1,11,598
cell_397,863,20,3,0,24,6
cell_398,15,21,46,65,11,556
cell_399,23,26,905,19,19,31
cell_400,14,8,5,924,8,37
cell_401,11,5,17,4,15,1143
cell_402,610,20,29,22,26,63
cell_403,864,19,26,25,28,6
cell_404,17,16,1258,13,14,7
cell_405,48,15,730,11,29,35
cell_406,15,20,8,21,861,4
cell_407,353,27,49,9,17,42
cell_408,1665,50,15,5,31,9
cell_409,24,11,11,19,1,1114
cell_410,10,30,7,19,6,11
cell_411,1671,27,9,7,24,962
cell_412,729,6,13,23,11,28
cell_413,25,15,23,8,3,397
cell_414,4,1213,32,17,6,28
cell_415,906,10,5,871,3,48
cell_416,721,7,15,20,110,37
cell_417,5,11,987,35,32,16
cell_418,35,17,49,34,1009,14
cell_419,27,18,18,34,72,5
cell_420,83,833,12,26,6,27
cell_421,1580,20,10,13,8,926
cell_422,23,21,33,11,1231,13
cell_423,10,11,16,17,533,7
cell_424,12,14,35,9,874,6
cell_425,825,62,40,45,4,8
cell_426,961,40,14,3,29,15
cell_427,15,31,39,697,45,23
cell_428,9,29,639,9,18,17
cell_429,21,25,58,44,28,991
cell_430,17,22,6,41,17,12
cell_431,21,11,44,33,702,24
cell_432,43,12,11,555,9,21
cell_433,28,10,11,6,462,20
cell_434,1558,34,9,35,31,4
cell_435,877,15,9,9,31,5
cell_436,18,1348,637,41,18,13
cell_437,7,25,688,19,16,15
cell_438,56,30,37,12,701,34
cell_439,32,37,45,1477,15,28
cell_440,24,1061,17,2,12,6
cell_441,18,39,931,8,14,14
cell_442,32,62,27,26,1505,6
cell_443,1933,7,50,19,14,24
cell_444,998,17,30,42,40,9
cell_445,9,40,13,892,27,12
cell_446,10,1596,15,16,8,21
cell_447,996,19,17,5,19,29
cell_448,9,33,18,9,16,1713
cell_449,27,54,1048,11,34,0
cell_450,755,5,35,18,7,97
cell_451,3,2522,19,57,2,6
cell_452,29,8,543,4,29,11
cell_453,681,9,14,5,902,13
cell_454,1,12,24,1212,6,28
cell_455,3,9,459,22,42,7
cell_456,6,6,11,13,12,12
cell_457,878,12,33,28,57,16
cell_458,6,420,9,18,10,42
cell_459,13,12,51,21,32,1495
cell_460,28,905,2,27,19,9
cell_461,13,6,20,38,28,600
cell_462,499,18,38,0,20,16
cell_463,442,8,7,23,37,10
cell_464,1272,8,41,6,19,32
cell_465,16,12,1478,4,10,1161
cell_466,16,16,57,3,1016,49
cell_467,6,51,1220,13,22,20
cell_468,9,1243,28,19,10,15
cell_469,31,27,40,1394,73,2
cell_470,26,15,97,38,904,7
cell_471,63,0,5,1276,12,30
cell_472,600,19,10,4,12,46
cell_473,9,8,9,1090,15,13
cell_474,25,7,963,21,17,49
cell_475,31,1379,11,8,18,14
cell_476,8,6,9,23,8,23
cell_477,4,2,36,18,4,1213
cell_478,7,4,705,24,44,26
cell_479,59,1205,60,3,18,19
cell_480,77,91,727,16,20,25
cell_481,21,501,756,15,12,24
cell_482,10,0,8,5,61,884
cell_483,835,5,18,30,16,6
cell_484,13,26,19,32,1036,52
cell_485,5,74,6,37,90,2
cell_486,7,1600,19,18,31,14
cell_487,25,13,1159,21,12,22
cell_488,13,14,33,5,860,20
cell_489,44,22,9,1083,43,4
cell_490,3,16,1,811,35,16
cell_491,33,34,45,21,19,10
cell_492,46,14,28,930,3,19
cell_493,397,28,23,18,18,32
cell_494,13,17,3,448,27,24
cell_495,12,22,11,41,1195,5
cell_496,18,1960,28,47,14,58
cell_497,19,42,24,31,16,828
cell_498,1,2,10,685,12,18
cell_499,46,49,104,7,1047,31
cell_500,1575,12,63,25,22,15
cell_501,12,18,34,36,1223,27
cell_502,22,56,848,3,55,14
cell_503,1215,17,33,5,9,20
cell_504,6,702,20,35,794,13
cell_505,788,5,17,10,778,20
cell_506,14,17,794,45,6,25
cell_507,15,21,433,29,11,27
cell_508,31,1028,16,12,34,19
cell_509,10,20,15,992,15,10
cell_510,1353,15,5,16,35,14
cell_511,62,12,5,485,40,15
cell_512,16,20,5,1689,10,5
cell_513,16,4,14,17,15,920
cell_514,35,339,18,13,21,12
cell_515,8,846,4,43,0,18
cell_516,19,1532,9,2,24,29
cell_517,13,892,24,15,12,10
cell_518,7,728,34,25,28,7
cell_519,23,17,1246,16,54,39
cell_520,51,31,21,7,1008,9
cell_521,1,902,18,5,33,11
cell_522,1624,17,632,22,28,21
cell_523,29,15,11,15,931,11
cell_524,17,544,40,14,29,10
cell_525,57,12,1476,32,18,63
cell_526,29,22,11,16,17,653
cell_527,7,44,48,41,12,21
cell_528,656,13,9,33,44,39
cell_529,13,10,26,31,37,3
cell_530,35,22,5,7,16,1026
cell_531,6,496,1324,10,5,6
cell_532,16,2,19,12,1344,18
cell_533,1386,92,28,21,62,61
cell_534,19,831,14,6,35,15
cell_535,2,20,27,10,2649,11
cell_536,16,16,72,24,30,898
cell_537,17,35,24,26,497,21
cell_538,1,17,1330,18,35,29
cell_539,4,34,12,9,13,704
cell_540,27,0,37,9,19,18
cell_541,35,2,47,18,24,1424
cell_542,8,18,14,26,2300,871
cell_543,20,7,6,41,15,1285
cell_544,45,2111,9,21,22,12
cell_545,16,37,508,8,13,26
cell_546,20,9,20,846,10,53
cell_547,23,798,8,25,18,24
cell_548,5,16,3,5,605,7
cell_549,291,11,22,52,60,21
cell_550,43,979,60,4,25,18
cell_551,29,27,18,1521,22,25
cell_552,15,39,6,1389,4,19
cell_553,26,36,1,7,288,16
cell_554,3,775,14,4,6,33
cell_555,14,14,1501,17,11,36
cell_556,7,40,11,0,10,19
cell_557,30,17,22,20,761,9
cell_558,15,17,30,19,19,633
cell_559,2,38,25,11,1453,33
cell_560,20,4,19,11,24,730
cell_561,50,588,10,2,7,7
cell_562,32,27,21,6,706,22
cell_563,49,52,10,873,13,32
cell_564,6,1556,11,23,4,16
cell_565,0,42,13,69,27,8
cell_566,401,56,34,48,14,22
cell_567,13,40,16,22,29,420
cell_568,496,18,1,9,21,28
cell_569,8,1,11,11,2003,36
cell_570,14,2,30,3,1144,21
cell_571,37,5,14,9,493,15
cell_572,4,27,33,13,33,913
cell_573,14,23,17,684,679,13
cell_574,14,43,11,14,29,2
cell_575,18,714,32,17,33,27
cell_576,14,11,3,768,34,37
cell_577,3,75,53,1474,20,42
cell_578,38,1166,21,7,18,50
cell_579,8,35,8,66,20,679
cell_580,14,612,18,39,12,11
cell_581,12,19,968,25,15,20
cell_582,26,5,15,36,23,674
cell_583,46,18,39,7,380,7
cell_584,29,1177,20,18,18,6
cell_585,22,1702,717,7,8,4
cell_586,26,1365,5,10,14,36
cell_587,21,21,5,1973,38,7
cell_588,9,13,27,38,3,1437
cell_589,18,22,8,22,29,664
cell_590,52,9,38,822,5,3
cell_591,43,14,4,15,17,20
cell_592,936,7,5,39,56,9
cell_593,14,33,19,20,4,652
cell_594,865,8,9,7,9,5
cell_595,11,14,16,69,1844,8
cell_596,18,6,603,10,1,16
cell_597,78,2,2,35,24,830
cell_598,46,28,9,15,8,1819
cell_599,3,3,1683,0,23,41
cell_600,6,6,36,1,825,9
cell_601,12,21,13,35,32,657
cell_602,60,31,665,23,25,13
cell_603,47,14,9,37,10,767
cell_604,982,790,10,5,35,38
cell_605,36,1052,10,3,30,29
cell_606,7,6,23,1132,8,9
cell_607,1174,26,23,6,8,2051
cell_608,47,41,1464,25,25,8
cell_609,1433,23,31,5,51,36
cell_610,26,37,17,18,1182,5
cell_611,803,10,8,5,14,7
cell_612,11,22,1295,24,44,41
cell_613,20,8,8,0,1241,13
cell_614,10,25,10,10,999,31
cell_615,35,52,34,1169,16,76
cell_616,24,31,27,1363,36,14
cell_617,8,3,1286,9,62,11
cell_618,22,12,43,22,15,738
cell_619,20,11,4,20,1135,20
cell_620,29,14,17,1251,2,46
cell_621,6,8,20,20,1263,32
cell_622,13,38,549,7,25,42
cell_623,33,17,21,9,291,32
cell_624,13,33,726,16,0,7
cell_625,1,32,27,1,1004,8
cell_626,14,30,27,905,6,27
cell_627,21,5,32,2,28,1073
cell_628,14,30,29,10,14,841
cell_629,19,1448,8,45,27,2
cell_630,39,10,39,32,13,18
cell_631,27,24,6,38,24,20
cell_632,39,6,8,18,24,11
cell_633,15,27,5,1990,16,17
cell_634,29,1119,27,3,21,72
cell_635,787,7,15,2,23,13
cell_636,38,23,1,7,28,1215
cell_637,657,24,12,27,69,12
cell_638,30,29,3,1366,37,11
cell_639,6,10,16,56,850,6
cell_640,6,20,1308,3,19,33
cell_641,18,761,36,4,8,45
cell_642,25,30,4,884,35,10
cell_643,31,26,41,8,3,792
cell_644,5,1143,11,26,24,42
cell_645,4,1046,7,36,4,12
cell_646,20,565,50,24,6,38
cell_647,34,437,17,9,3,3
cell_648,994,16,6,26,26,5
cell_649,18,18,5,632,17,29
cell_650,33,20,14,945,4,111
cell_651,1411,47,7,12,14,52
cell_652,10,33,41,35,1,31
cell_653,20,8,1,29,1872,10
cell_654,26,394,13,34,6,48
cell_655,929,44,6,23,16,824
cell_656,52,13,22,9,12,41
cell_657,9,29,2123,13,15,8
cell_658,17,20,26,493,44,14
cell_659,62,42,1138,34,19,20
cell_660,9,9,18,16,833,18
cell_661,20,46,35,20,888,10
cell_662,9,6,24,1123,17,29
cell_663,16,9,11,13,57,776
cell_664,12,21,8,25,4,1143
cell_665,2,39,5,9,1555,9
cell_666,22,9,3,4,685,8
cell_667,0,32,887,29,41,11
cell_668,16,47,18,63,39,785
cell_669,26,16,3,6,13,11
cell_670,42,12,676,11,5,39
cell_671,33,28,23,17,1084,60
cell_672,18,15,18,2250,29,57
cell_673,21,52,1117,9,16,9
cell_674,21,31,47,16,36,776
cell_675,23,17,2,1142,16,7
cell_676,6,36,35,0,46,328
cell_677,22,16,7,29,776,11
cell_678,21,11,7,13,1672,42
cell_679,15,21,16,613,44,14
cell_680,12,479,6,9,27,17
cell_681,6,976,7,14,9,1024
cell_682,24,1648,34,2,25,4
cell_683,20,1175,35,19,25,16
cell_684,46,17,20,9,11,13
cell_685,57,9,1042,16,26,8
cell_686,0,15,943,19,11,13
cell_687,14,20,4,57,10,29
cell_688,52,37,28,9,564,9
cell_689,2,15,454,24,4,31
cell_690,24,721,25,27,15,2
cell_691,39,6,730,29,22,26
cell_692,1187,31,8,55,7,3
cell_693,57,766,10,15,14,21
cell_694,17,8,39,548,12,8
cell_695,21,46,23,21,339,22
cell_696,855,19,29,21,23,26
cell_697,13,18,62,2,39,1368
cell_698,1166,51,3,34,25,19
cell_699,44,5,415,4,11,12
cell_700,21,40,905,30,13,23
cell_701,17,23,659,16,9,25
cell_702,13,790,39,20,58,13
cell_703,22,1945,30,2,4,22
cell_704,15,22,30,1059,26,40
cell_705,15,5,21,1087,1705,18
cell_706,21,22,890,11,17,36
cell_707,14,55,1,592,6,13
cell_708,15,7,4,679,33,454
cell_709,31,6,28,26,845,16
cell_710,20,4,2,18,1126,30
cell_711,9,16,61,9,18,926
cell_712,21,19,1269,1,15,12
cell_713,1023,19,5,5,27,19
cell_714,8,29,1548,8,2,14
cell_715,8,9,43,5,1475,21
cell_716,10,14,18,29,4,741
cell_717,23,16,31,677,4,11
cell_718,18,34,34,6,2516,18
cell_719,12,16,36,23,1946,0
cell_720,9,35,11,1573,13,58
cell_721,21,9,530,7,8,17
cell_722,23,15,11,45,1370,21
cell_723,35,13,31,52,29,19
cell_724,58,36,11,25,1069,32
cell_725,8,3,16,28,920,6
cell_726,3,12,931,5,7,19
cell_727,13,2150,42,8,13,42
cell_728,1516,14,17,4,16,3
cell_729,17,760,6,27,3,42
cell_730,41,1004,11,2,19,7
cell_731,2,23,17,22,7,1291
cell_732,15,18,26,30,1028,13
cell_733,12,11,15,21,564,538
cell_734,16,7,836,18,40,16
cell_735,21,587,39,2,9,45
cell_736,18,31,13,34,978,14
cell_737,5,12,716,569,9,7
cell_738,22,32,7,13,26,867
cell_739,18,23,22,1203,14,27
cell_740,19,22,950,20,8,33
cell_741,16,6,617,19,15,11
cell_742,10,21,269,3,14,19
cell_743,35,5,13,17,1689,11
cell_744,1149,29,20,58,22,40
cell_745,14,45,15,27,6,1051
cell_746,11,12,646,28,4,13
cell_747,2,28,53,1,1089,38
cell_748,38,22,1,12,15,1710
cell_749,0,53,21,5,824,20
cell_750,8,19,14,49,456,9
cell_751,36,13,6,4,15,6
cell_752,17,15,53,48,830,19
cell_753,9,24,6,5,28,12
cell_754,712,25,4,49,19,11
cell_755,12,717,37,26,26,15
cell_756,1211,8,17,28,39,19
cell_757,8,13,50,6,5,1699
cell_758,16,21,19,883,9,6
cell_759,930,37,17,10,22,36
cell_760,32,46,30,1090,28,6
cell_761,46,2,48,6,15,486
cell_762,3,20,24,17,26,1341
cell_763,1,2025,38,17,14,7
cell_764,12,583,52,26,8,47
cell_765,5,37,31,48,384,7
cell_766,8,10,37,17,3,616
cell_767,1512,17,17,10,13,36
cell_768,964,18,30,18,11,15
cell_769,22,8,837,47,7,7
cell_770,13,1643,19,5,44,23
cell_771,7,951,11,12,4,10
cell_772,25,45,22,627,20,20
cell_773,39,21,1601,0,7,43
cell_774,4,853,1015,6,11,16
cell_775,56,1047,70,4,50,28
cell_776,9,615,4,21,40,36
cell_777,443,20,34,8,7,15
cell_778,16,1054,1971,11,4,21
cell_779,39,19,20,12,40,1661
cell_780,594,18,10,23,5,37
cell_781,22,21,1094,27,1131,21
cell_782,21,6,26,11,21,625
cell_783,12,15,17,21,69,1800
cell_784,5,14,619,32,42,20
cell_785,8,22,1071,5,9,36
cell_786,112,56,14,15,27,1699
cell_787,1404,740,13,18,18,8
cell_788,20,1290,22,12,24,23
cell_789,21,13,1429,9,26,12
cell_790,1756,11,19,23,15,28
cell_791,11,1210,22,14,9,37
cell_792,17,46,14,50,381,18
cell_793,3,3,12,6,610,28
cell_794,42,28,3,1056,7,52
cell_795,48,31,6,22,15,1517
cell_796,8,19,1467,25,14,742
cell_797,17,13,936,26,9,12
cell_798,1170,21,32,16,11,25
cell_799,21,14,674,29,5,9
