,barcode_assign,barcode_count,droplet_type,total_tag_umi
cell_109,tag_6,1,singlet,1361
cell_110,tag_2,1,singlet,906
cell_111,tag_3,1,singlet,1008
cell_112,multiplet,2,multiplet,2044
cell_113,tag_5,1,singlet,504
cell_114,tag_2,1,singlet,1281
cell_115,tag_1,1,singlet,909
cell_116,tag_5,1,singlet,560
cell_117,tag_4,1,singlet,606
cell_118,tag_5,1,singlet,1248
cell_119,tag_3,1,singlet,536
cell_120,tag_1,1,singlet,1178
cell_121,tag_5,1,singlet,622
cell_122,tag_1,1,singlet,1222
cell_123,multiplet,2,multiplet,2083
cell_124,tag_5,1,singlet,1101
cell_125,tag_1,1,singlet,1082
cell_126,multiplet,2,multiplet,2278
cell_127,multiplet,2,multiplet,1691
cell_128,tag_5,1,singlet,718
cell_129,negative,0,negative,133
cell_130,tag_2,1,singlet,904
cell_131,tag_6,1,singlet,486
cell_132,tag_1,1,singlet,2743
cell_133,tag_4,1,singlet,2181
cell_134,negative,0,negative,136
cell_135,tag_1,1,singlet,1490
cell_136,tag_1,1,singlet,706
cell_137,tag_3,1,singlet,951
cell_138,tag_5,1,singlet,1430
cell_139,tag_3,1,singlet,1017
cell_140,tag_2,1,singlet,1023
cell_141,tag_6,1,singlet,671
cell_142,tag_4,1,singlet,1248
cell_143,tag_5,1,singlet,1181
cell_144,tag_2,1,singlet,1119
cell_145,tag_5,1,singlet,1955
cell_146,tag_2,1,singlet,629
cell_147,tag_3,1,singlet,1868
cell_148,tag_3,1,singlet,1047
cell_149,tag_3,1,singlet,617
cell_150,negative,0,negative,140
cell_151,multiplet,2,multiplet,1623
cell_152,tag_3,1,singlet,511
cell_153,negative,0,negative,46
cell_154,tag_2,1,singlet,1200
cell_155,tag_2,1,singlet,1152
cell_156,tag_5,1,singlet,1459
cell_157,tag_1,1,singlet,995
cell_158,tag_4,1,singlet,1118
cell_159,negative,0,negative,158
cell_160,tag_2,1,singlet,2121
cell_161,tag_3,1,singlet,1715
cell_162,tag_6,1,singlet,2373
cell_163,tag_6,1,singlet,881
cell_164,negative,0,negative,85
cell_165,tag_3,1,singlet,420
cell_166,tag_2,1,singlet,528
cell_167,tag_1,1,singlet,704
cell_168,tag_2,1,singlet,1236
cell_169,tag_6,1,singlet,515
cell_170,tag_3,1,singlet,1895
cell_171,tag_2,1,singlet,884
cell_172,tag_3,1,singlet,668
cell_173,tag_1,1,singlet,1040
cell_174,tag_3,1,singlet,958
cell_175,negative,0,negative,164
cell_176,tag_6,1,singlet,623
cell_177,tag_1,1,singlet,1087
cell_178,tag_2,1,singlet,569
cell_179,tag_3,1,singlet,855
cell_180,tag_4,1,singlet,1343
cell_181,tag_4,1,singlet,2757
cell_182,tag_6,1,singlet,1080
cell_183,tag_6,1,singlet,1469
cell_184,tag_6,1,singlet,773
cell_185,tag_6,1,singlet,1550
cell_186,tag_3,1,singlet,974
cell_187,tag_2,1,singlet,790
cell_188,tag_5,1,singlet,1011
cell_189,multiplet,2,multiplet,1135
cell_190,tag_2,1,singlet,1142
cell_191,tag_2,1,singlet,660
cell_192,tag_4,1,singlet,895
cell_193,tag_5,1,singlet,610
cell_194,tag_3,1,singlet,929
cell_195,tag_2,1,singlet,1717
cell_196,tag_3,1,singlet,1005
cell_197,multiplet,2,multiplet,2395
cell_198,negative,0,negative,56
cell_199,tag_1,1,singlet,820
cell_200,tag_4,1,singlet,783
cell_201,tag_5,1,singlet,1603
cell_202,tag_3,1,singlet,1112
cell_203,tag_6,1,singlet,524
cell_204,multiplet,2,multiplet,2865
cell_205,tag_6,1,singlet,675
cell_206,tag_3,1,singlet,426
cell_207,tag_3,1,singlet,1757
cell_208,tag_2,1,singlet,1653
cell_209,tag_6,1,singlet,1200
cell_210,tag_6,1,singlet,930
cell_211,tag_2,1,singlet,1166
cell_212,multiplet,2,multiplet,1495
cell_213,tag_3,1,singlet,1076
cell_214,tag_3,1,singlet,1719
cell_215,tag_3,1,singlet,834
cell_216,tag_4,1,singlet,1328
cell_217,tag_5,1,singlet,767
cell_218,tag_4,1,singlet,2326
cell_219,tag_2,1,singlet,1238
cell_220,tag_3,1,singlet,965
cell_221,tag_1,1,singlet,224
cell_222,tag_4,1,singlet,1271
cell_223,tag_4,1,singlet,1145
cell_224,tag_6,1,singlet,1335
cell_225,tag_6,1,singlet,1045
cell_226,tag_3,1,singlet,1758
cell_227,multiplet,2,multiplet,4001
cell_228,multiplet,2,multiplet,1737
cell_229,tag_2,1,singlet,1578
cell_230,tag_4,1,singlet,982
cell_231,tag_1,1,singlet,748
cell_232,tag_1,1,singlet,1430
cell_233,tag_6,1,singlet,1084
cell_234,tag_2,1,singlet,996
cell_235,multiplet,2,multiplet,2748
cell_236,tag_5,1,singlet,1486
cell_237,tag_3,1,singlet,1628
cell_238,tag_2,1,singlet,617
cell_239,tag_4,1,singlet,422
cell_240,tag_1,1,singlet,620
cell_241,tag_2,1,singlet,1795
cell_242,tag_1,1,singlet,398
cell_243,tag_2,1,singlet,808
cell_244,tag_1,1,singlet,610
cell_245,tag_1,1,singlet,933
cell_246,tag_6,1,singlet,1055
cell_247,tag_1,1,singlet,931
cell_248,tag_1,1,singlet,1329
cell_249,tag_4,1,singlet,859
cell_250,tag_5,1,singlet,756
cell_251,multiplet,2,multiplet,2085
cell_252,tag_2,1,singlet,849
cell_253,tag_2,1,singlet,387
cell_254,tag_2,1,singlet,340
cell_255,tag_5,1,singlet,637
cell_256,tag_6,1,singlet,973
cell_257,tag_5,1,singlet,636
cell_258,tag_5,1,singlet,517
cell_259,tag_5,1,singlet,546
cell_260,tag_6,1,singlet,1325
cell_261,tag_5,1,singlet,1589
cell_262,tag_4,1,singlet,1290
cell_263,tag_3,1,singlet,1772
cell_264,tag_5,1,singlet,990
cell_265,tag_6,1,singlet,1033
cell_266,tag_1,1,singlet,1505
cell_267,tag_5,1,singlet,1965
cell_268,tag_3,1,singlet,976
cell_269,tag_3,1,singlet,335
cell_270,tag_6,1,singlet,287
cell_271,tag_1,1,singlet,2477
cell_272,tag_5,1,singlet,1383
cell_273,tag_4,1,singlet,1143
cell_274,tag_5,1,singlet,836
cell_275,negative,0,negative,94
cell_276,tag_1,1,singlet,987
cell_277,multiplet,2,multiplet,3035
cell_278,tag_2,1,singlet,941
cell_279,tag_5,1,singlet,502
cell_280,tag_5,1,singlet,1271
cell_281,tag_5,1,singlet,1099
cell_282,tag_6,1,singlet,1178
cell_283,tag_4,1,singlet,963
cell_284,tag_6,1,singlet,655
cell_285,tag_1,1,singlet,799
cell_286,multiplet,2,multiplet,1840
cell_287,tag_5,1,singlet,502
cell_288,tag_1,1,singlet,901
cell_289,tag_3,1,singlet,1522
cell_290,tag_2,1,singlet,1305
cell_291,tag_3,1,singlet,1389
cell_292,tag_6,1,singlet,2514
cell_293,tag_1,1,singlet,1118
cell_294,tag_1,1,singlet,1167
cell_295,tag_6,1,singlet,992
cell_296,tag_3,1,singlet,878
cell_297,tag_6,1,singlet,2056
cell_298,tag_6,1,singlet,999
cell_299,tag_2,1,singlet,2423
cell_300,tag_1,1,singlet,451
cell_301,tag_3,1,singlet,825
cell_302,tag_4,1,singlet,1293
cell_303,tag_3,1,singlet,1656
cell_304,tag_2,1,singlet,1148
cell_305,tag_4,1,singlet,1390
cell_306,tag_6,1,singlet,679
cell_307,tag_3,1,singlet,1131
cell_308,tag_3,1,singlet,1187
cell_309,tag_2,1,singlet,712
cell_310,tag_1,1,singlet,833
cell_311,tag_4,1,singlet,1778
cell_312,tag_1,1,singlet,1217
cell_313,tag_4,1,singlet,952
cell_314,tag_2,1,singlet,1192
cell_315,tag_3,1,singlet,903
cell_316,tag_6,1,singlet,1479
cell_317,multiplet,2,multiplet,1886
cell_318,multiplet,2,multiplet,892
cell_319,tag_1,1,singlet,1065
cell_320,negative,0,negative,66
cell_321,tag_2,1,singlet,1354
cell_322,tag_2,1,singlet,1702
cell_323,tag_5,1,singlet,1073
cell_324,tag_5,1,singlet,643
cell_325,tag_3,1,singlet,499
cell_326,tag_5,1,singlet,571
cell_327,tag_5,1,singlet,567
cell_328,tag_4,1,singlet,547
cell_329,multiplet,2,multiplet,3136
cell_330,tag_4,1,singlet,2084
cell_331,multiplet,2,multiplet,1806
cell_332,tag_6,1,singlet,482
cell_333,tag_4,1,singlet,1064
cell_334,tag_4,1,singlet,547
cell_335,tag_5,1,singlet,922
cell_336,tag_1,1,singlet,1203
cell_337,tag_4,1,singlet,842
cell_338,tag_6,1,singlet,1093
cell_339,tag_1,1,singlet,911
cell_340,tag_6,1,singlet,851
cell_341,multiplet,2,multiplet,1350
cell_342,tag_4,1,singlet,893
cell_343,tag_2,1,singlet,1487
cell_344,tag_2,1,singlet,1672
cell_345,multiplet,2,multiplet,1895
cell_346,multiplet,2,multiplet,1098
cell_347,tag_1,1,singlet,583
cell_348,tag_2,1,singlet,1581
cell_349,tag_5,1,singlet,1154
cell_350,tag_1,1,singlet,1176
cell_351,tag_3,1,singlet,933
cell_352,tag_6,1,singlet,1117
cell_353,tag_6,1,singlet,1346
cell_354,tag_6,1,singlet,1259
cell_355,tag_4,1,singlet,658
cell_356,negative,0,negative,129
cell_357,negative,0,negative,137
cell_358,tag_2,1,singlet,845
cell_359,tag_1,1,singlet,736
cell_360,tag_4,1,singlet,1333
cell_361,tag_6,1,singlet,946
cell_362,multiplet,2,multiplet,2367
cell_363,tag_1,1,singlet,1024
cell_364,tag_3,1,singlet,692
cell_365,tag_1,1,singlet,2253
cell_366,tag_5,1,singlet,1399
cell_367,tag_2,1,singlet,761
cell_368,tag_3,1,singlet,1152
cell_369,tag_6,1,singlet,1548
cell_370,tag_5,1,singlet,1103
cell_371,tag_4,1,singlet,712
cell_372,tag_2,1,singlet,1137
cell_373,tag_3,1,singlet,654
cell_374,tag_3,1,singlet,1419
cell_375,tag_1,1,singlet,698
cell_376,tag_2,1,singlet,1725
cell_377,tag_3,1,singlet,1284
cell_378,tag_6,1,singlet,923
cell_379,tag_6,1,singlet,418
cell_380,negative,0,negative,222
cell_381,tag_3,1,singlet,1099
cell_382,tag_1,1,singlet,1434
cell_383,tag_3,1,singlet,475
cell_384,tag_3,1,singlet,1294
cell_385,multiplet,2,multiplet,1870
cell_386,tag_1,1,singlet,781
cell_387,tag_4,1,singlet,653
cell_388,tag_6,1,singlet,1178
cell_389,tag_1,1,singlet,1062
cell_390,tag_2,1,singlet,1415
cell_391,tag_5,1,singlet,1501
cell_392,tag_1,1,singlet,1215
cell_393,tag_3,1,singlet,1766
cell_394,tag_6,1,singlet,1550
cell_395,multiplet,2,multiplet,1634
cell_396,tag_6,1,singlet,655
cell_397,tag_1,1,singlet,916
cell_398,tag_6,1,singlet,714
cell_399,tag_3,1,singlet,1023
cell_400,tag_4,1,singlet,996
cell_401,tag_6,1,singlet,1195
cell_402,tag_1,1,singlet,770
cell_403,tag_1,1,singlet,968
cell_404,tag_3,1,singlet,1325
cell_405,tag_3,1,singlet,868
cell_406,tag_5,1,singlet,929
cell_407,tag_1,1,singlet,497
cell_408,tag_1,1,singlet,1775
cell_409,tag_6,1,singlet,1180
cell_410,negative,0,negative,83
cell_411,multiplet,2,multiplet,2700
cell_412,tag_1,1,singlet,810
cell_413,tag_6,1,singlet,471
cell_414,tag_2,1,singlet,1300
cell_415,multiplet,2,multiplet,1843
cell_416,tag_1,1,singlet,910
cell_417,tag_3,1,singlet,1086
cell_418,tag_5,1,singlet,1158
cell_419,negative,0,negative,174
cell_420,tag_2,1,singlet,987
cell_421,multiplet,2,multiplet,2557
cell_422,tag_5,1,singlet,1332
cell_423,tag_5,1,singlet,594
cell_424,tag_5,1,singlet,950
cell_425,tag_1,1,singlet,984
cell_426,tag_1,1,singlet,1062
cell_427,tag_4,1,singlet,850
cell_428,tag_3,1,singlet,721
cell_429,tag_6,1,singlet,1167
cell_430,negative,0,negative,115
cell_431,tag_5,1,singlet,835
cell_432,tag_4,1,singlet,651
cell_433,tag_5,1,singlet,537
cell_434,tag_1,1,singlet,1671
cell_435,tag_1,1,singlet,946
cell_436,multiplet,2,multiplet,2075
cell_437,tag_3,1,singlet,770
cell_438,tag_5,1,singlet,870
cell_439,tag_4,1,singlet,1634
cell_440,tag_2,1,singlet,1122
cell_441,tag_3,1,singlet,1024
cell_442,tag_5,1,singlet,1658
cell_443,tag_1,1,singlet,2047
cell_444,tag_1,1,singlet,1136
cell_445,tag_4,1,singlet,993
cell_446,tag_2,1,singlet,1666
cell_447,tag_1,1,singlet,1085
cell_448,tag_6,1,singlet,1798
cell_449,tag_3,1,singlet,1174
cell_450,tag_1,1,singlet,917
cell_451,tag_2,1,singlet,2609
cell_452,tag_3,1,singlet,624
cell_453,multiplet,2,multiplet,1624
cell_454,tag_4,1,singlet,1283
cell_455,tag_3,1,singlet,542
cell_456,negative,0,negative,60
cell_457,tag_1,1,singlet,1024
cell_458,tag_2,1,singlet,505
cell_459,tag_6,1,singlet,1624
cell_460,tag_2,1,singlet,990
cell_461,tag_6,1,singlet,705
cell_462,tag_1,1,singlet,591
cell_463,tag_1,1,singlet,527
cell_464,tag_1,1,singlet,1378
cell_465,multiplet,2,multiplet,2681
cell_466,tag_5,1,singlet,1157
cell_467,tag_3,1,singlet,1332
cell_468,tag_2,1,singlet,1324
cell_469,tag_4,1,singlet,1567
cell_470,tag_5,1,singlet,1087
cell_471,tag_4,1,singlet,1386
cell_472,tag_1,1,singlet,691
cell_473,tag_4,1,singlet,1144
cell_474,tag_3,1,singlet,1082
cell_475,tag_2,1,singlet,1461
cell_476,negative,0,negative,77
cell_477,tag_6,1,singlet,1277
cell_478,tag_3,1,singlet,810
cell_479,tag_2,1,singlet,1364
cell_480,tag_3,1,singlet,956
cell_481,multiplet,2,multiplet,1329
cell_482,tag_6,1,singlet,968
cell_483,tag_1,1,singlet,910
cell_484,tag_5,1,singlet,1178
cell_485,negative,0,negative,214
cell_486,tag_2,1,singlet,1689
cell_487,tag_3,1,singlet,1252
cell_488,tag_5,1,singlet,945
cell_489,tag_4,1,singlet,1205
cell_490,tag_4,1,singlet,882
cell_491,negative,0,negative,162
cell_492,tag_4,1,singlet,1040
cell_493,tag_1,1,singlet,516
cell_494,tag_4,1,singlet,532
cell_495,tag_5,1,singlet,1286
cell_496,tag_2,1,singlet,2125
cell_497,tag_6,1,singlet,960
cell_498,tag_4,1,singlet,728
cell_499,tag_5,1,singlet,1284
cell_500,tag_1,1,singlet,1712
cell_501,tag_5,1,singlet,1350
cell_502,tag_3,1,singlet,998
cell_503,tag_1,1,singlet,1299
cell_504,multiplet,2,multiplet,1570
cell_505,multiplet,2,multiplet,1618
cell_506,tag_3,1,singlet,901
cell_507,tag_3,1,singlet,536
cell_508,tag_2,1,singlet,1140
cell_509,tag_4,1,singlet,1062
cell_510,tag_1,1,singlet,1438
cell_511,tag_4,1,singlet,619
cell_512,tag_4,1,singlet,1745
cell_513,tag_6,1,singlet,986
cell_514,tag_2,1,singlet,438
cell_515,tag_2,1,singlet,919
cell_516,tag_2,1,singlet,1615
cell_517,tag_2,1,singlet,966
cell_518,tag_2,1,singlet,829
cell_519,tag_3,1,singlet,1395
cell_520,tag_5,1,singlet,1127
cell_521,tag_2,1,singlet,970
cell_522,multiplet,2,multiplet,2344
cell_523,tag_5,1,singlet,1012
cell_524,tag_2,1,singlet,654
cell_525,tag_3,1,singlet,1658
cell_526,tag_6,1,singlet,748
cell_527,negative,0,negative,173
cell_528,tag_1,1,singlet,794
cell_529,negative,0,negative,120
cell_530,tag_6,1,singlet,1111
cell_531,multiplet,2,multiplet,1847
cell_532,tag_5,1,singlet,1411
cell_533,tag_1,1,singlet,1650
cell_534,tag_2,1,singlet,920
cell_535,tag_5,1,singlet,2719
cell_536,tag_6,1,singlet,1056
cell_537,tag_5,1,singlet,620
cell_538,tag_3,1,singlet,1430
cell_539,tag_6,1,singlet,776
cell_540,negative,0,negative,110
cell_541,tag_6,1,singlet,1550
cell_542,multiplet,2,multiplet,3237
cell_543,tag_6,1,singlet,1374
cell_544,tag_2,1,singlet,2220
cell_545,tag_3,1,singlet,608
cell_546,tag_4,1,singlet,958
cell_547,tag_2,1,singlet,896
cell_548,tag_5,1,singlet,641
cell_549,tag_1,1,singlet,457
cell_550,tag_2,1,singlet,1129
cell_551,tag_4,1,singlet,1642
cell_552,tag_4,1,singlet,1472
cell_553,tag_5,1,singlet,374
cell_554,tag_2,1,singlet,835
cell_555,tag_3,1,singlet,1593
cell_556,negative,0,negative,87
cell_557,tag_5,1,singlet,859
cell_558,tag_6,1,singlet,733
cell_559,tag_5,1,singlet,1562
cell_560,tag_6,1,singlet,808
cell_561,tag_2,1,singlet,664
cell_562,tag_5,1,singlet,814
cell_563,tag_4,1,singlet,1029
cell_564,tag_2,1,singlet,1616
cell_565,negative,0,negative,159
cell_566,tag_1,1,singlet,575
cell_567,tag_6,1,singlet,540
cell_568,tag_1,1,singlet,573
cell_569,tag_5,1,singlet,2070
cell_570,tag_5,1,singlet,1214
cell_571,tag_5,1,singlet,573
cell_572,tag_6,1,singlet,1023
cell_573,multiplet,2,multiplet,1430
cell_574,negative,0,negative,113
cell_575,tag_2,1,singlet,841
cell_576,tag_4,1,singlet,867
cell_577,tag_4,1,singlet,1667
cell_578,tag_2,1,singlet,1300
cell_579,tag_6,1,singlet,816
cell_580,tag_2,1,singlet,706
cell_581,tag_3,1,singlet,1059
cell_582,tag_6,1,singlet,779
cell_583,tag_5,1,singlet,497
cell_584,tag_2,1,singlet,1268
cell_585,multiplet,2,multiplet,2460
cell_586,tag_2,1,singlet,1456
cell_587,tag_4,1,singlet,2065
cell_588,tag_6,1,singlet,1527
cell_589,tag_6,1,singlet,763
cell_590,tag_4,1,singlet,929
cell_591,negative,0,negative,113
cell_592,tag_1,1,singlet,1052
cell_593,tag_6,1,singlet,742
cell_594,tag_1,1,singlet,903
cell_595,tag_5,1,singlet,1962
cell_596,tag_3,1,singlet,654
cell_597,tag_6,1,singlet,971
cell_598,tag_6,1,singlet,1925
cell_599,tag_3,1,singlet,1753
cell_600,tag_5,1,singlet,883
cell_601,tag_6,1,singlet,770
cell_602,tag_3,1,singlet,817
cell_603,tag_6,1,singlet,884
cell_604,multiplet,2,multiplet,1860
cell_605,tag_2,1,singlet,1160
cell_606,tag_4,1,singlet,1185
cell_607,multiplet,2,multiplet,3288
cell_608,tag_3,1,singlet,1610
cell_609,tag_1,1,singlet,1579
cell_610,tag_5,1,singlet,1285
cell_611,tag_1,1,singlet,847
cell_612,tag_3,1,singlet,1437
cell_613,tag_5,1,singlet,1290
cell_614,tag_5,1,singlet,1085
cell_615,tag_4,1,singlet,1382
cell_616,tag_4,1,singlet,1495
cell_617,tag_3,1,singlet,1379
cell_618,tag_6,1,singlet,852
cell_619,tag_5,1,singlet,1210
cell_620,tag_4,1,singlet,1359
cell_621,tag_5,1,singlet,1349
cell_622,tag_3,1,singlet,674
cell_623,tag_5,1,singlet,403
cell_624,tag_3,1,singlet,795
cell_625,tag_5,1,singlet,1073
cell_626,tag_4,1,singlet,1009
cell_627,tag_6,1,singlet,1161
cell_628,tag_6,1,singlet,938
cell_629,tag_2,1,singlet,1549
cell_630,negative,0,negative,151
cell_631,negative,0,negative,139
cell_632,negative,0,negative,106
cell_633,tag_4,1,singlet,2070
cell_634,tag_2,1,singlet,1271
cell_635,tag_1,1,singlet,847
cell_636,tag_6,1,singlet,1312
cell_637,tag_1,1,singlet,801
cell_638,tag_4,1,singlet,1476
cell_639,tag_5,1,singlet,944
cell_640,tag_3,1,singlet,1389
cell_641,tag_2,1,singlet,872
cell_642,tag_4,1,singlet,988
cell_643,tag_6,1,singlet,901
cell_644,tag_2,1,singlet,1251
cell_645,tag_2,1,singlet,1109
cell_646,tag_2,1,singlet,703
cell_647,tag_2,1,singlet,503
cell_648,tag_1,1,singlet,1073
cell_649,tag_4,1,singlet,719
cell_650,tag_4,1,singlet,1127
cell_651,tag_1,1,singlet,1543
cell_652,negative,0,negative,151
cell_653,tag_5,1,singlet,1940
cell_654,tag_2,1,singlet,521
cell_655,multiplet,2,multiplet,1842
cell_656,negative,0,negative,149
cell_657,tag_3,1,singlet,2197
cell_658,tag_4,1,singlet,614
cell_659,tag_3,1,singlet,1315
cell_660,tag_5,1,singlet,903
cell_661,tag_5,1,singlet,1019
cell_662,tag_4,1,singlet,1208
cell_663,tag_6,1,singlet,882
cell_664,tag_6,1,singlet,1213
cell_665,tag_5,1,singlet,1619
cell_666,tag_5,1,singlet,731
cell_667,tag_3,1,singlet,1000
cell_668,tag_6,1,singlet,968
cell_669,negative,0,negative,75
cell_670,tag_3,1,singlet,785
cell_671,tag_5,1,singlet,1245
cell_672,tag_4,1,singlet,2387
cell_673,tag_3,1,singlet,1224
cell_674,tag_6,1,singlet,927
cell_675,tag_4,1,singlet,1207
cell_676,tag_6,1,singlet,451
cell_677,tag_5,1,singlet,861
cell_678,tag_5,1,singlet,1766
cell_679,tag_4,1,singlet,723
cell_680,tag_2,1,singlet,550
cell_681,multiplet,2,multiplet,2036
cell_682,tag_2,1,singlet,1737
cell_683,tag_2,1,singlet,1290
cell_684,negative,0,negative,116
cell_685,tag_3,1,singlet,1158
cell_686,tag_3,1,singlet,1001
cell_687,negative,0,negative,134
cell_688,tag_5,1,singlet,699
cell_689,tag_3,1,singlet,530
cell_690,tag_2,1,singlet,814
cell_691,tag_3,1,singlet,852
cell_692,tag_1,1,singlet,1291
cell_693,tag_2,1,singlet,883
cell_694,tag_4,1,singlet,632
cell_695,tag_5,1,singlet,472
cell_696,tag_1,1,singlet,973
cell_697,tag_6,1,singlet,1502
cell_698,tag_1,1,singlet,1298
cell_699,tag_3,1,singlet,491
cell_700,tag_3,1,singlet,1032
cell_701,tag_3,1,singlet,749
cell_702,tag_2,1,singlet,933
cell_703,tag_2,1,singlet,2025
cell_704,tag_4,1,singlet,1192
cell_705,multiplet,2,multiplet,2851
cell_706,tag_3,1,singlet,997
cell_707,tag_4,1,singlet,681
cell_708,multiplet,2,multiplet,1192
cell_709,tag_5,1,singlet,952
cell_710,tag_5,1,singlet,1200
cell_711,tag_6,1,singlet,1039
cell_712,tag_3,1,singlet,1337
cell_713,tag_1,1,singlet,1098
cell_714,tag_3,1,singlet,1609
cell_715,tag_5,1,singlet,1561
cell_716,tag_6,1,singlet,816
cell_717,tag_4,1,singlet,762
cell_718,tag_5,1,singlet,2626
cell_719,tag_5,1,singlet,2033
cell_720,tag_4,1,singlet,1699
cell_721,tag_3,1,singlet,592
cell_722,tag_5,1,singlet,1485
cell_723,negative,0,negative,179
cell_724,tag_5,1,singlet,1231
cell_725,tag_5,1,singlet,981
cell_726,tag_3,1,singlet,977
cell_727,tag_2,1,singlet,2268
cell_728,tag_1,1,singlet,1570
cell_729,tag_2,1,singlet,855
cell_730,tag_2,1,singlet,1084
cell_731,tag_6,1,singlet,1362
cell_732,tag_5,1,singlet,1130
cell_733,multiplet,2,multiplet,1161
cell_734,tag_3,1,singlet,933
cell_735,tag_2,1,singlet,703
cell_736,tag_5,1,singlet,1088
cell_737,multiplet,2,multiplet,1318
cell_738,tag_6,1,singlet,967
cell_739,tag_4,1,singlet,1307
cell_740,tag_3,1,singlet,1052
cell_741,tag_3,1,singlet,684
cell_742,tag_3,1,singlet,336
cell_743,tag_5,1,singlet,1770
cell_744,tag_1,1,singlet,1318
cell_745,tag_6,1,singlet,1158
cell_746,tag_3,1,singlet,714
cell_747,tag_5,1,singlet,1211
cell_748,tag_6,1,singlet,1798
cell_749,tag_5,1,singlet,923
cell_750,tag_5,1,singlet,555
cell_751,negative,0,negative,80
cell_752,tag_5,1,singlet,982
cell_753,negative,0,negative,84
cell_754,tag_1,1,singlet,820
cell_755,tag_2,1,singlet,833
cell_756,tag_1,1,singlet,1322
