,tag_1,tag_2,tag_3,tag_4,tag_5,tag_6
cell_72,0,25,11,17,3,2133
cell_73,63,943,7,28,21,97
cell_74,1,1387,8,26,33,5
cell_75,6,16,5,742,23,10
cell_76,38,1031,16,10,14,6
cell_77,14,11,597,11,14,28
cell_78,1907,13,10,6,16,22
cell_79,32,22,12,30,9,962
cell_80,1124,22,18,5,17,35
cell_81,17,27,1232,41,8,16
cell_82,36,6,20,14,1518,62
cell_83,6,10,26,1123,3,3
cell_84,33,25,20,15,3,444
cell_85,17,704,1963,6,24,53
cell_86,21,1171,24,31,8,21
cell_87,672,29,10,29,16,33
cell_88,5,1,45,41,1210,6
cell_89,1,39,9,42,2071,31
cell_90,18,10,37,33,30,1563
cell_91,1181,41,18,27,54,38
cell_92,17,1,18,2,1384,27
cell_93,11,35,21,17,890,17
cell_94,14,23,604,10,14,28
cell_95,27,2,237,18,3,31
cell_96,14,23,9,283,8,38
cell_97,18,30,25,14,16,1041
cell_98,44,835,8,15,9,8
cell_99,712,24,27,30,5,9
cell_100,605,22,9,12,1600,8
cell_101,15,12,17,50,17,6
cell_102,35,1070,16,10,19,7
cell_103,4,9,900,11,37,18
cell_104,4,36,6,1411,38,8
cell_105,13,15,5,18,27,22
cell_106,15,9,23,712,25,39
cell_107,23,1,34,48,47,239
cell_108,11,35,27,8,558,18
cell_109,9,40,11,12,1016,23
cell_110,2,63,14,13,659,12
cell_111,12,19,818,3,4,20
cell_112,34,64,13,14,26,771
cell_113,12,2184,31,19,10,6
cell_114,1297,26,17,31,50,16
cell_115,6,1627,4,21,7,16
cell_116,4,4,9,22,779,5
cell_117,5,3,8,31,35,355
cell_118,25,27,822,16,27,21
cell_119,11,20,24,10,845,39
cell_120,4,28,24,30,1,1132
cell_121,26,15,1,37,18,1327
cell_122,25,9,44,622,31,0
cell_123,59,49,477,18,301,4
cell_124,31,44,57,4,44,1008
cell_125,55,19,33,24,14,28
cell_126,13,10,6,8,215,27
cell_127,17,43,20,36,15,1939
cell_128,46,19,1216,21,11,14
cell_129,16,7,682,24,22,36
cell_130,10,3,25,19,602,31
cell_131,46,31,21,39,18,21
cell_132,6,41,9,22,49,50
cell_133,10,29,17,22,1544,23
cell_134,1413,17,19,27,44,29
cell_135,1122,38,42,15,48,339
cell_136,25,490,784,52,26,3
cell_137,1254,12,29,8,15,7
cell_138,24,1157,3,20,769,15
cell_139,22,9,24,17,1494,19
cell_140,20,47,20,3,10,650
cell_141,10,31,875,28,5,37
cell_142,23,13,19,0,680,7
cell_143,476,14,32,32,15,20
cell_144,4,0,15,842,31,21
cell_145,17,36,620,45,2,11
cell_146,16,4,666,65,26,25
cell_147,391,13,3,27,23,30
cell_148,14,13,12,812,11,16
cell_149,11,5,2,1603,53,36
cell_150,18,7,8,11,26,1122
cell_151,81,31,13,66,1373,1495
cell_152,27,56,4,31,11,105
cell_153,1454,6,9,11,43,2007
cell_154,1056,26,27,8,36,22
cell_155,8,25,44,1527,20,10
cell_156,30,494,25,22,21,12
cell_157,6,11,935,4,30,26
cell_158,17,20,1939,22,17,8
cell_159,1627,35,10,48,26,29
cell_160,28,18,8,1062,27,42
cell_161,30,4,6,20,28,1860
cell_162,1288,6,15,4,2,21
cell_163,10,875,5,43,36,13
cell_164,6,876,23,19,14,13
cell_165,7,19,12,2,3,1642
cell_166,6,598,47,10,17,11
cell_167,21,830,8,6,12,50
cell_168,3,11,27,1,6,1918
cell_169,586,16,29,10,23,11
cell_170,33,26,33,15,898,13
cell_171,469,6,11,24,18,37
cell_172,14,2398,33,8,3,35
cell_173,516,26,4,17,23,2
cell_174,5,1,9,11,14,794
cell_175,26,6,1733,14,19,14
cell_176,90,27,15,843,21,2
cell_177,17,20,662,35,6,58
cell_178,16,43,16,40,13,683
cell_179,887,50,17,8,10,33
cell_180,16,42,23,796,27,23
cell_181,33,44,20,18,1119,0
cell_182,21,24,2147,34,67,3
cell_183,5,18,30,782,55,36
cell_184,48,1378,22,14,4,10
cell_185,18,14,1760,13,34,27
cell_186,13,6,22,1158,12,24
cell_187,22,26,8,24,9,1547
cell_188,8,815,14,19,51,52
cell_189,17,6,12,28,15,1438
cell_190,2,34,37,19,6,982
cell_191,12,875,32,6,29,43
cell_192,36,990,13,12,607,25
cell_193,858,27,22,1271,7,4
cell_194,1690,10,27,20,21,23
cell_195,16,50,29,334,17,45
cell_196,15,1618,14,7,9,13
cell_197,29,4,13,567,1,45
cell_198,12,770,474,11,10,45
cell_199,11,12,9,18,1206,38
cell_200,13,5,1226,14,4,12
cell_201,1242,31,29,6,23,27
cell_202,54,25,1153,14,38,45
cell_203,34,27,645,34,76,22
cell_204,3,32,12,4,15,1066
cell_205,16,39,12,32,5,1484
cell_206,23,27,561,7,19,32
cell_207,23,34,11,1642,13,1
cell_208,14,22,1107,33,71,36
cell_209,43,5,15,2,14,1773
cell_210,19,1136,7,22,16,16
cell_211,15,21,11,16,469,9
cell_212,42,2931,19,2,9,13
cell_213,691,15,9,3,8,10
cell_214,27,8,9,674,4,10
cell_215,35,84,34,55,12,890
cell_216,1,8,6,0,45,1295
cell_217,1215,51,5,9,35,35
cell_218,33,8,13,15,496,27
cell_219,30,9,4,15,1235,9
cell_220,1376,488,56,6,15,23
cell_221,7,10,17,10,501,24
cell_222,1432,43,61,16,23,703
cell_223,8,13,22,15,1260,9
cell_224,10,58,14,875,31,1
cell_225,11,2333,26,60,6,15
cell_226,40,1554,31,13,7,40
cell_227,4,6,10,1353,5,13
cell_228,6,2,5,5,1030,38
cell_229,18,26,10,13,0,27
cell_230,29,31,9,9,524,23
cell_231,8,599,13,27,22,38
cell_232,31,8,14,1140,6,18
cell_233,29,16,26,11,1482,10
cell_234,11,53,10,14,884,8
cell_235,17,941,24,17,20,11
cell_236,35,24,618,6,19,9
cell_237,28,26,938,35,2138,6
cell_238,21,12,25,10,27,64
cell_239,12,31,9,471,6,6
cell_240,3,8,16,9,766,10
cell_241,11,35,9,3,7,1254
cell_242,929,28,5,9,7,6
cell_243,6,5,19,6,822,14
cell_244,26,13,582,17,32,21
cell_245,24,33,41,6,15,20
cell_246,14,23,42,9,22,444
cell_247,29,14,947,24,40,6
cell_248,10,7,4,8,13,2104
cell_249,13,13,744,0,12,20
cell_250,14,909,21,35,14,33
cell_251,14,26,1348,49,16,11
cell_252,29,13,10,16,1060,13
cell_253,3,6,18,3,11,1321
cell_254,35,1462,12,11,28,26
cell_255,34,1203,9,28,16,43
cell_256,20,82,1406,39,18,12
cell_257,47,21,9,7,1293,22
cell_258,5,22,14,39,33,1265
cell_259,16,11,6,15,681,25
cell_260,1001,18,14,27,29,70
cell_261,29,15,9,15,7,478
cell_262,24,11,4,8,32,1003
cell_263,35,4,1040,12,14,48
cell_264,22,10,29,31,7,16
cell_265,67,28,35,18,13,18
cell_266,13,6,1477,22,12,13
cell_267,787,30,27,21,1,25
cell_268,2,32,11,1150,15,1
cell_269,24,48,31,733,3,21
cell_270,1285,44,27,18,7,34
cell_271,51,12,1317,28,26,29
cell_272,15,9,32,15,651,10
cell_273,3,9,5,16,31,25
cell_274,1,21,7,35,12,884
cell_275,16,9,31,22,26,962
cell_276,10,43,1069,13,16,18
cell_277,16,28,55,591,18,16
cell_278,13,8,3,710,21,22
cell_279,1609,26,5,6,4,38
cell_280,500,5,6,6,18,34
cell_281,1902,20,10,9,11,25
cell_282,34,9,17,5,35,1526
cell_283,31,19,13,8,1183,6
cell_284,9,10,27,34,597,24
cell_285,17,25,3,23,609,8
cell_286,21,963,17,3,15,27
cell_287,31,15,16,20,9,1271
cell_288,6,26,22,2,16,2113
cell_289,1333,41,41,1,13,17
cell_290,20,765,39,13,29,12
cell_291,13,28,9,8,618,20
cell_292,12,17,807,4,23,2
cell_293,927,9,42,13,4,8
cell_294,809,11,13,17,4,12
cell_295,25,12,732,8,1,4
cell_296,16,17,869,13,13,27
cell_297,9,10,18,21,1885,8
cell_298,1583,50,7,10,12,12
cell_299,10,6,25,1,608,1475
cell_300,29,33,975,6,33,27
cell_301,14,1070,16,3,27,10
cell_302,8,11,3,721,16,22
cell_303,6,31,38,8,17,1362
cell_304,7,62,22,39,17,939
cell_305,87,19,39,28,9,661
cell_306,39,42,1230,30,31,9
cell_307,25,13,27,1412,14,13
cell_308,11,22,11,45,31,542
cell_309,1,21,721,3,16,20
cell_310,8,17,46,2132,6,10
cell_311,2037,62,23,17,8,14
cell_312,49,42,13,1333,19,17
cell_313,1735,43,7,44,17,15
cell_314,2,25,38,35,16,1177
cell_315,5,6,15,331,33,25
cell_316,39,700,7,4,23,10
cell_317,16,749,23,45,23,25
cell_318,617,13,11,39,4,27
cell_319,1073,36,83,11,10,26
cell_320,21,15,823,16,974,15
cell_321,17,54,1339,14,14,25
cell_322,1,16,7,32,709,8
cell_323,35,1172,9,34,25,4
cell_324,17,17,15,16,27,486
cell_325,5,3,1215,4,18,1
cell_326,29,25,1,1120,21,28
cell_327,21,4,776,20,43,15
cell_328,9,1157,10,21,12,28
cell_329,1303,9,79,2,47,15
cell_330,24,29,32,44,1097,23
cell_331,40,18,461,20,49,30
cell_332,33,16,949,10,10,14
cell_333,5,42,2423,14,4,8
cell_334,12,7,46,7,1859,0
cell_335,13,26,7,27,653,0
cell_336,2201,27,23,56,4,9
cell_337,1220,22,12,45,35,29
cell_338,1065,7,10,7,44,625
cell_339,10,48,12,354,2841,8
cell_340,7,1926,11,36,13,7
cell_341,13,17,806,6,17,18
cell_342,7,390,8,16,25,8
cell_343,722,2,12,42,12,18
cell_344,49,5,23,62,36,1184
cell_345,37,12,29,8,13,56
cell_346,19,23,21,20,7,902
cell_347,18,33,16,14,27,14
cell_348,28,26,12,26,954,0
cell_349,6,2,20,28,1020,929
cell_350,1276,55,10,3,26,2
cell_351,19,40,52,28,925,12
cell_352,4,31,1132,8,47,12
cell_353,17,10,16,19,7,782
cell_354,40,18,1649,7,17,9
cell_355,23,16,27,533,22,6
cell_356,23,56,40,2,19,28
cell_357,9,1997,17,20,17,47
cell_358,3,11,36,1523,36,3
cell_359,1320,12,15,16,41,15
cell_360,9,16,25,24,44,1083
cell_361,28,10,1384,31,15,18
cell_362,20,5,24,17,42,2
cell_363,11,6,19,12,1144,6
cell_364,5,3,1165,31,6,20
cell_365,8,5,66,15,7,52
cell_366,27,14,1170,20,16,19
cell_367,45,26,21,13,5,454
cell_368,5,427,20,0,39,24
cell_369,12,401,19,32,6,32
cell_370,13,12,25,19,31,729
cell_371,9,7,24,20,726,6
cell_372,445,20,1941,41,5,9
cell_373,5,645,24,15,35,10
cell_374,929,8,9,4,35,36
cell_375,32,53,47,887,17,43
cell_376,25,752,1,53,23,28
cell_377,78,22,0,21,533,11
cell_378,7,10,45,1448,12,10
cell_379,20,30,6,17,13,14
cell_380,46,44,23,837,24,41
cell_381,32,12,14,10,39,9
cell_382,912,13,7,36,283,18
cell_383,6,19,25,4,43,515
cell_384,26,48,45,36,6,777
cell_385,1,10,17,20,23,11
cell_386,1864,10,17,38,20,11
cell_387,7,29,652,10,10,19
cell_388,691,10,20,11,19,3
cell_389,23,10,25,1060,4,20
cell_390,1778,24,31,9,25,9
cell_391,6,1054,0,872,8,21
cell_392,524,74,15,2,13,21
cell_393,74,8,1944,16,26,24
cell_394,2,23,38,50,29,894
cell_395,700,11,7,23,7,30
cell_396,8,8,32,19,3,16
cell_397,41,5,25,28,1711,24
cell_398,29,24,2163,51,39,21
cell_399,14,6,1142,16,7,26
cell_400,15,12,20,1,1013,25
cell_401,0,35,4,22,2435,27
cell_402,25,5,1361,54,36,15
cell_403,24,3,8,46,10,25
cell_404,427,1414,5,33,8,13
cell_405,19,946,15,9,11,6
cell_406,40,1109,7,12,2,8
cell_407,8,6,17,5,521,2
cell_408,9,14,7,5,1511,26
cell_409,2,67,1042,19,13,20
cell_410,998,48,36,12,18,1067
cell_411,18,10,10,2,3,956
cell_412,47,1566,11,65,2,3
cell_413,40,20,11,32,6,1759
cell_414,17,38,18,22,8,13
cell_415,30,31,12,24,1126,9
cell_416,11,18,2265,28,7,25
cell_417,11,20,1370,22,8,50
cell_418,1297,6,7,12,6,2
cell_419,14,3,12,1842,11,16
cell_420,21,12,2,2,910,21
cell_421,20,21,1510,18,69,13
cell_422,26,634,14,16,18,7
cell_423,8,4,14,31,9,1115
cell_424,33,22,25,6,1,44
cell_425,42,10,24,25,14,1243
cell_426,25,56,908,25,27,6
cell_427,36,19,21,46,28,1572
cell_428,28,1197,33,5,29,13
cell_429,1857,11,14,6,36,28
cell_430,671,31,1,23,14,44
cell_431,53,1034,1106,6,30,31
cell_432,8,22,6,25,856,20
cell_433,564,11,20,20,46,19
cell_434,24,20,67,434,751,4
cell_435,14,26,16,1616,65,1698
cell_436,3,30,30,25,399,29
cell_437,523,6,51,23,29,10
cell_438,13,58,1227,14,10,16
cell_439,24,542,37,3,22,36
cell_440,1355,3,33,33,10,7
cell_441,13,62,999,12,46,40
cell_442,17,10,16,3,13,523
cell_443,6,294,21,3,34,29
cell_444,10,55,9,36,559,3
cell_445,11,1120,2,25,27,7
cell_446,22,19,34,10,1422,54
cell_447,22,2075,23,5,6,31
cell_448,7,17,36,48,1046,10
cell_449,6,16,9,17,14,934
cell_450,19,35,4,19,23,1843
cell_451,4,0,7,439,24,12
cell_452,20,25,1324,24,12,19
cell_453,6,44,24,2,22,20
cell_454,19,17,1299,11,9,39
cell_455,35,785,6,24,5,559
cell_456,30,1613,15,17,14,21
cell_457,17,27,11,16,730,16
cell_458,30,54,2,1176,25,30
cell_459,27,39,517,11,53,5
cell_460,13,24,24,43,13,771
cell_461,25,9,24,46,26,1129
cell_462,1,11,27,684,1,12
cell_463,5,5,36,5,15,913
cell_464,4,9,662,58,0,19
cell_465,940,7,6,7,34,11
cell_466,35,19,676,10,10,31
cell_467,49,2,23,42,894,3
cell_468,16,26,8,15,1058,20
cell_469,4,18,1,1111,0,6
cell_470,45,12,6,11,11,1046
cell_471,3,20,1352,15,5,27
cell_472,31,3,37,14,645,11
cell_473,4,35,14,27,19,953
cell_474,28,8,6,37,34,1687
cell_475,40,1033,23,4,7,12
cell_476,6,7,34,1200,102,12
cell_477,20,2300,13,34,50,626
cell_478,56,5,20,13,1627,13
cell_479,6,24,5,11,423,9
cell_480,17,18,6,745,11,58
cell_481,1372,20,42,18,15,15
cell_482,4,8,19,708,30,42
cell_483,27,20,855,28,40,7
cell_484,26,5,39,6,619,18
cell_485,27,29,21,622,3,50
cell_486,6,12,55,1344,15,37
cell_487,14,910,16,18,32,27
cell_488,12,42,1917,7,20,22
cell_489,57,55,7,1097,20,16
cell_490,1559,22,13,5,15,12
cell_491,36,13,79,16,525,29
cell_492,24,928,7,19,12,16
cell_493,18,34,26,0,759,4
cell_494,31,637,6,21,21,40
cell_495,5,12,13,11,3,1266
cell_496,14,49,2,52,234,23
cell_497,4,0,9,11,10,973
cell_498,9,18,3,1183,8,11
cell_499,35,9,18,26,12,846
cell_500,16,12,27,10,618,7
cell_501,32,21,24,18,5,8
cell_502,23,42,10,48,44,334
cell_503,54,12,6,54,18,573
cell_504,14,37,44,6,25,692
cell_505,13,11,34,5,1652,19
cell_506,6,20,9,19,1060,24
cell_507,280,12,19,14,32,8
cell_508,8,22,418,13,45,9
cell_509,10,22,36,14,2170,11
cell_510,1417,14,55,5,8,25
cell_511,1168,11,2046,27,14,24
cell_512,38,35,20,2,454,22
cell_513,35,18,10,6,6,1358
cell_514,17,677,25,39,11,1028
cell_515,10,27,27,16,498,30
cell_516,1214,21,15,8,23,712
cell_517,12,21,46,24,1010,13
cell_518,32,26,815,33,38,35
cell_519,41,10,38,1563,11,7
cell_520,30,9,4,19,767,7
cell_521,23,71,20,10,13,1037
cell_522,1354,17,28,12,8,48
cell_523,16,16,31,731,36,14
cell_524,911,14,1,21,28,4
cell_525,11,1492,2681,5,12,26
cell_526,7,11,17,4,684,26
cell_527,9,6,16,929,9,902
cell_528,28,1334,11,5,59,3
cell_529,26,5,34,13,7,24
cell_530,11,17,26,545,20,7
cell_531,1,955,15,55,48,31
cell_532,7,689,21,8,13,17
cell_533,46,11,1968,11,5,17
cell_534,24,49,65,32,31,690
cell_535,25,1038,21,34,7,26
cell_536,14,799,12,53,6,5
cell_537,12,51,32,1169,12,16
cell_538,22,18,40,16,921,15
cell_539,25,7,1033,6,6,7
cell_540,30,1014,31,22,14,18
cell_541,13,19,25,353,48,2
cell_542,1084,23,12,9,12,8
cell_543,44,6,17,31,740,9
cell_544,39,45,22,25,850,12
cell_545,18,22,16,43,11,1753
cell_546,19,16,67,6,15,789
cell_547,10,8,20,23,32,1850
cell_548,889,45,29,1,12,22
cell_549,634,6,12,17,3,49
cell_550,26,16,45,16,3,855
cell_551,33,481,12,14,0,39
cell_552,25,20,21,1011,37,20
cell_553,624,22,22,8,10,25
cell_554,38,9,6,742,0,3
cell_555,12,9,51,790,30,23
cell_556,10,12,10,59,423,30
cell_557,18,25,1006,49,18,20
cell_558,10,702,10,34,0,2
cell_559,49,12,15,54,857,30
cell_560,18,30,19,44,234,24
cell_561,55,6,42,25,57,24
cell_562,27,1085,2,13,49,29
cell_563,19,1266,24,22,11,17
cell_564,13,10,18,6,465,28
cell_565,34,15,33,16,11,830
cell_566,23,464,12,33,3,3
cell_567,5,19,17,41,31,830
cell_568,2108,14,37,11,22,18
cell_569,12,23,5,2,673,15
cell_570,42,18,5,1244,8,19
cell_571,24,44,16,1494,6,7
cell_572,4,6,1319,21,38,5
cell_573,23,16,14,33,9,883
cell_574,36,28,599,25,31,27
cell_575,12,12,7,378,8,6
cell_576,23,60,966,27,17,22
cell_577,22,10,14,29,1092,16
cell_578,16,15,481,27,6,53
cell_579,14,24,16,1552,954,22
cell_580,764,39,27,30,11,7
cell_581,7,6,7,9,693,3
cell_582,5,736,25,54,20,3
cell_583,34,33,29,1284,1564,9
cell_584,0,34,23,110,8,1762
cell_585,39,43,18,13,31,9
cell_586,32,8,503,14,10,12
cell_587,33,1235,13,11,1,7
cell_588,11,20,19,13,19,746
cell_589,47,985,21,35,17,36
cell_590,7,30,13,7,750,40
cell_591,877,5,18,697,23,14
cell_592,23,19,7,32,1482,20
cell_593,35,9,1172,10,16,24
cell_594,26,3,14,2,5,1773
cell_595,9,8,38,4,827,56
cell_596,36,9,16,45,23,1083
cell_597,21,11,22,1,1138,72
cell_598,16,671,18,5,41,20
cell_599,31,11,8,11,7,1065
cell_600,53,4,14,4,2,486
cell_601,1,39,15,17,48,1140
cell_602,1015,7,32,25,23,10
cell_603,20,26,795,30,16,16
cell_604,19,25,22,27,1517,11
cell_605,40,70,10,11,1,29
cell_606,10,5,41,5,1338,31
cell_607,12,14,1303,23,1,20
cell_608,7,38,11,6,842,6
cell_609,19,14,2211,24,14,18
cell_610,27,20,25,24,11,970
cell_611,10,4,52,5,977,19
cell_612,10,28,53,1645,23,10
cell_613,30,2123,28,43,11,58
cell_614,47,12,26,2,1063,16
cell_615,16,5,18,619,45,5
cell_616,1183,5,20,11,23,43
cell_617,19,86,23,38,507,59
cell_618,671,13,20,30,9,53
cell_619,18,25,1683,32,2,13
cell_620,8,14,0,41,18,905
cell_621,2236,6,14,23,22,7
cell_622,950,20,9,39,21,24
cell_623,950,13,35,15,9,6
cell_624,4,12,24,29,2095,53
cell_625,8,759,20,0,18,15
cell_626,20,1899,27,12,6,15
cell_627,1432,25,49,11,30,2
cell_628,27,21,858,23,20,3
cell_629,957,18,36,38,23,33
cell_630,1659,33,34,18,24,6
cell_631,1096,19,26,1,3,38
cell_632,6,46,43,2,1713,27
cell_633,37,664,16,9,0,27
cell_634,20,18,18,32,14,774
cell_635,753,13,29,19,5,38
cell_636,1589,16,10,37,26,2
cell_637,800,16,17,5,5,1
cell_638,10,4,14,1,1530,9
cell_639,655,31,4,17,9,21
cell_640,45,11,12,16,22,1742
cell_641,29,21,15,32,7,1201
cell_642,512,16,1,14,3,20
cell_643,7,1143,22,7,31,28
cell_644,21,15,1,851,50,21
cell_645,9,14,20,150,34,1
cell_646,916,14,3,6,0,21
cell_647,22,1201,31,3,25,14
cell_648,7,13,12,8,26,1296
cell_649,10,12,13,821,12,29
cell_650,14,557,4,16,8,39
cell_651,20,1217,26,31,30,20
cell_652,16,24,8,14,1037,43
cell_653,20,59,9,799,38,7
cell_654,1154,19,8,25,16,38
cell_655,36,12,41,18,718,8
cell_656,22,27,4,991,5,8
cell_657,39,32,25,28,393,23
cell_658,11,14,12,996,15,23
cell_659,8,5,1153,29,10,34
cell_660,27,36,22,35,8,989
cell_661,14,424,15,28,24,13
cell_662,22,26,1007,23,13,2
cell_663,64,27,8,675,23,4
cell_664,39,26,14,14,1176,20
cell_665,8,5,505,28,15,27
cell_666,24,4,1389,15,23,24
cell_667,28,1025,5,1282,31,38
cell_668,9,14,4,2,85,1219
cell_669,8,2,1936,5,15,810
cell_670,24,6,1,623,44,18
cell_671,32,12,13,26,1027,5
cell_672,5,1193,821,7,7,36
cell_673,33,2,1756,13,23,20
cell_674,6,9,0,1097,46,21
cell_675,9,5,2,737,0,31
cell_676,1430,5,7,19,31,13
cell_677,50,1938,36,33,13,743
cell_678,40,212,11,29,2,47
cell_679,10,8,593,14,20,62
cell_680,15,19,3,4,947,24
cell_681,13,19,60,26,1087,14
cell_682,24,34,43,757,30,12
cell_683,7,4,1898,18,12,35
cell_684,9,2,755,5,9,4
cell_685,3,8,7,9,53,807
cell_686,1107,6,26,22,19,25
cell_687,10,33,53,6,37,1079
cell_688,8,1268,24,1,6,23
cell_689,12,23,38,1144,27,41
cell_690,1485,16,12,20,19,58
cell_691,10,16,11,1126,39,24
cell_692,11,19,36,12,39,39
cell_693,38,20,17,53,1730,18
cell_694,36,28,6,834,36,35
cell_695,815,16,930,11,9,30
cell_696,993,64,15,6,12,7
cell_697,0,25,3,26,1112,5
cell_698,5,34,7,25,1578,13
cell_699,5,7,21,15,1170,24
cell_700,1,10,19,28,21,1599
cell_701,5,9,12,16,22,447
cell_702,23,1594,3,22,61,19
cell_703,15,1548,40,8,24,9
cell_704,22,17,11,3,331,13
cell_705,967,7,7,5,8,14
cell_706,9,30,23,16,8,1865
cell_707,11,12,15,3,4,990
cell_708,687,21,14,1030,28,3
cell_709,672,6,15,12,36,16
cell_710,17,651,7,8,30,13
cell_711,8,765,4,714,2,40
cell_712,34,33,542,8,7,5
cell_713,10,32,1465,22,18,24
cell_714,10,17,23,323,1068,21
cell_715,7,6,403,18,57,42
cell_716,21,802,67,28,27,19
cell_717,11,23,1121,0,12,15
cell_718,22,20,7,17,12,936
cell_719,6,37,1,741,57,29
cell_720,1401,13,19,6,9,23
cell_721,29,1190,40,9,23,19
cell_722,14,2,996,25,58,20
cell_723,44,17,10,1785,29,9
cell_724,16,21,37,3,367,0
cell_725,7,1,64,1045,16,9
cell_726,1295,9,13,18,21,4
cell_727,11,37,27,1208,7,13
cell_728,16,24,1721,4,15,16
cell_729,815,12,2,8,10,16
cell_730,11,471,9,0,8,52
cell_731,21,3,31,11,15,1126
cell_732,33,20,52,11,392,2
cell_733,15,1311,34,8,37,20
cell_734,27,2,38,17,21,663
cell_735,11,14,20,14,1006,35
cell_736,35,65,56,28,5,1056
cell_737,578,14,19,14,15,60
cell_738,61,11,32,3,6,6
cell_739,2,1,5,1465,79,7
cell_740,9,12,2,50,1138,52
cell_741,19,13,17,867,3,17
cell_742,1487,42,8,820,67,2
cell_743,7,23,5,547,5,7
cell_744,23,475,47,12,0,2
cell_745,22,9,971,26,23,5
cell_746,52,53,24,21,19,834
cell_747,38,22,36,954,14,21
cell_748,18,22,15,13,3,6
cell_749,10,31,3,10,44,1290
cell_750,24,1,780,51,8,12
cell_751,22,2,29,7,11,921
cell_752,22,5,1077,3,920,41
cell_753,7,10,773,18,20,14
cell_754,23,21,12,24,5,2700
cell_755,54,13,36,741,20,20
cell_756,671,3,13,15,5,5
cell_757,30,20,2,21,883,803
cell_758,1103,36,8,31,439,26
cell_759,20,27,1765,13,1643,21
cell_760,2,15,1298,8,7,9
cell_761,1887,1598,33,20,3,35
cell_762,19,12,840,20,875,11
cell_763,47,13,1061,8,12,14
cell_764,16,14,390,22,20,16
cell_765,23,19,7,17,24,984
cell_766,13,30,12,633,48,917
cell_767,20,1223,4,19,8,19
cell_768,18,25,724,8,35,10
cell_769,661,16,28,8,21,19
cell_770,6,24,17,1982,661,12
cell_771,796,17,16,7,21,15
cell_772,29,16,39,5,1242,7
cell_773,2178,35,9,19,15,26
cell_774,32,7,6,7,1656,4
cell_775,5,74,543,29,43,41
cell_776,7,41,2,27,1638,19
cell_777,14,20,17,26,16,453
cell_778,12,34,520,731,10,17
cell_779,5,26,1078,31,35,11
cell_780,36,1192,80,23,10,16
cell_781,29,42,16,20,4,764
cell_782,9,1,23,1309,12,41
cell_783,29,944,46,1,45,33
cell_784,0,814,11,14,14,19
cell_785,5,25,22,2,23,1695
cell_786,44,15,448,34,28,36
cell_787,30,44,1092,36,13,1
cell_788,8,7,6,14,4,555
cell_789,36,994,3,16,17,55
cell_790,1558,15,43,15,13,5
cell_791,0,976,1013,8,9,16
cell_792,27,3,41,6,1845,1458
cell_793,12,1681,57,7,35,27
cell_794,1,1140,44,23,12,0
cell_795,1328,14,11,21,12,2
cell_796,55,627,14,11,45,19
cell_797,29,10,10,3,695,11
