,barcode_assign,barcode_count,droplet_type,total_tag_umi
cell_105,negative,0,negative,100
cell_106,tag_4,1,singlet,823
cell_107,tag_6,1,singlet,392
cell_108,tag_5,1,singlet,657
cell_109,tag_5,1,singlet,1111
cell_110,tag_5,1,singlet,763
cell_111,tag_3,1,singlet,876
cell_112,tag_6,1,singlet,922
cell_113,tag_2,1,singlet,2262
cell_114,tag_1,1,singlet,1437
cell_115,tag_2,1,singlet,1681
cell_116,tag_5,1,singlet,823
cell_117,tag_6,1,singlet,437
cell_118,tag_3,1,singlet,938
cell_119,tag_5,1,singlet,949
cell_120,tag_6,1,singlet,1219
cell_121,tag_6,1,singlet,1424
cell_122,tag_4,1,singlet,731
cell_123,multiplet,2,multiplet,908
cell_124,tag_6,1,singlet,1188
cell_125,negative,0,negative,173
cell_126,tag_5,1,singlet,279
cell_127,tag_6,1,singlet,2070
cell_128,tag_3,1,singlet,1327
cell_129,tag_3,1,singlet,787
cell_130,tag_5,1,singlet,690
cell_131,negative,0,negative,176
cell_132,negative,0,negative,177
cell_133,tag_5,1,singlet,1645
cell_134,tag_1,1,singlet,1549
cell_135,multiplet,2,multiplet,1604
cell_136,multiplet,2,multiplet,1380
cell_137,tag_1,1,singlet,1325
cell_138,multiplet,2,multiplet,1988
cell_139,tag_5,1,singlet,1585
cell_140,tag_6,1,singlet,750
cell_141,tag_3,1,singlet,986
cell_142,tag_5,1,singlet,742
cell_143,tag_1,1,singlet,589
cell_144,tag_4,1,singlet,913
cell_145,tag_3,1,singlet,731
cell_146,tag_3,1,singlet,802
cell_147,tag_1,1,singlet,487
cell_148,tag_4,1,singlet,878
cell_149,tag_4,1,singlet,1710
cell_150,tag_6,1,singlet,1192
cell_151,multiplet,2,multiplet,3059
cell_152,tag_6,1,singlet,234
cell_153,multiplet,2,multiplet,3530
cell_154,tag_1,1,singlet,1175
cell_155,tag_4,1,singlet,1634
cell_156,tag_2,1,singlet,604
cell_157,tag_3,1,singlet,1012
cell_158,tag_3,1,singlet,2023
cell_159,tag_1,1,singlet,1775
cell_160,tag_4,1,singlet,1185
cell_161,tag_6,1,singlet,1948
cell_162,tag_1,1,singlet,1336
cell_163,tag_2,1,singlet,982
cell_164,tag_2,1,singlet,951
cell_165,tag_6,1,singlet,1685
cell_166,tag_2,1,singlet,689
cell_167,tag_2,1,singlet,927
cell_168,tag_6,1,singlet,1966
cell_169,tag_1,1,singlet,675
cell_170,tag_5,1,singlet,1018
cell_171,tag_1,1,singlet,565
cell_172,tag_2,1,singlet,2491
cell_173,tag_1,1,singlet,588
cell_174,tag_6,1,singlet,834
cell_175,tag_3,1,singlet,1812
cell_176,tag_4,1,singlet,998
cell_177,tag_3,1,singlet,798
cell_178,tag_6,1,singlet,811
cell_179,tag_1,1,singlet,1005
cell_180,tag_4,1,singlet,927
cell_181,tag_5,1,singlet,1234
cell_182,tag_3,1,singlet,2296
cell_183,tag_4,1,singlet,926
cell_184,tag_2,1,singlet,1476
cell_185,tag_3,1,singlet,1866
cell_186,tag_4,1,singlet,1235
cell_187,tag_6,1,singlet,1636
cell_188,tag_2,1,singlet,959
cell_189,tag_6,1,singlet,1516
cell_190,tag_6,1,singlet,1080
cell_191,tag_2,1,singlet,997
cell_192,multiplet,2,multiplet,1683
cell_193,multiplet,2,multiplet,2189
cell_194,tag_1,1,singlet,1791
cell_195,tag_4,1,singlet,491
cell_196,tag_2,1,singlet,1676
cell_197,tag_4,1,singlet,659
cell_198,multiplet,2,multiplet,1322
cell_199,tag_5,1,singlet,1294
cell_200,tag_3,1,singlet,1274
cell_201,tag_1,1,singlet,1358
cell_202,tag_3,1,singlet,1329
cell_203,tag_3,1,singlet,838
cell_204,tag_6,1,singlet,1132
cell_205,tag_6,1,singlet,1588
cell_206,tag_3,1,singlet,669
cell_207,tag_4,1,singlet,1724
cell_208,tag_3,1,singlet,1283
cell_209,tag_6,1,singlet,1852
cell_210,tag_2,1,singlet,1216
cell_211,tag_5,1,singlet,541
cell_212,tag_2,1,singlet,3016
cell_213,tag_1,1,singlet,736
cell_214,tag_4,1,singlet,732
cell_215,tag_6,1,singlet,1110
cell_216,tag_6,1,singlet,1355
cell_217,tag_1,1,singlet,1350
cell_218,tag_5,1,singlet,592
cell_219,tag_5,1,singlet,1302
cell_220,multiplet,2,multiplet,1964
cell_221,tag_5,1,singlet,569
cell_222,multiplet,2,multiplet,2278
cell_223,tag_5,1,singlet,1327
cell_224,tag_4,1,singlet,989
cell_225,tag_2,1,singlet,2451
cell_226,tag_2,1,singlet,1685
cell_227,tag_4,1,singlet,1391
cell_228,tag_5,1,singlet,1086
cell_229,negative,0,negative,94
cell_230,tag_5,1,singlet,625
cell_231,tag_2,1,singlet,707
cell_232,tag_4,1,singlet,1217
cell_233,tag_5,1,singlet,1574
cell_234,tag_5,1,singlet,980
cell_235,tag_2,1,singlet,1030
cell_236,tag_3,1,singlet,711
cell_237,multiplet,2,multiplet,3171
cell_238,negative,0,negative,159
cell_239,tag_4,1,singlet,535
cell_240,tag_5,1,singlet,812
cell_241,tag_6,1,singlet,1319
cell_242,tag_1,1,singlet,984
cell_243,tag_5,1,singlet,872
cell_244,tag_3,1,singlet,691
cell_245,negative,0,negative,139
cell_246,tag_6,1,singlet,554
cell_247,tag_3,1,singlet,1060
cell_248,tag_6,1,singlet,2146
cell_249,tag_3,1,singlet,802
cell_250,tag_2,1,singlet,1026
cell_251,tag_3,1,singlet,1464
cell_252,tag_5,1,singlet,1141
cell_253,tag_6,1,singlet,1362
cell_254,tag_2,1,singlet,1574
cell_255,tag_2,1,singlet,1333
cell_256,tag_3,1,singlet,1577
cell_257,tag_5,1,singlet,1399
cell_258,tag_6,1,singlet,1378
cell_259,tag_5,1,singlet,754
cell_260,tag_1,1,singlet,1159
cell_261,tag_6,1,singlet,553
cell_262,tag_6,1,singlet,1082
cell_263,tag_3,1,singlet,1153
cell_264,negative,0,negative,115
cell_265,negative,0,negative,179
cell_266,tag_3,1,singlet,1543
cell_267,tag_1,1,singlet,891
cell_268,tag_4,1,singlet,1211
cell_269,tag_4,1,singlet,860
cell_270,tag_1,1,singlet,1415
cell_271,tag_3,1,singlet,1463
cell_272,tag_5,1,singlet,732
cell_273,negative,0,negative,89
cell_274,tag_6,1,singlet,960
cell_275,tag_6,1,singlet,1066
cell_276,tag_3,1,singlet,1169
cell_277,tag_4,1,singlet,724
cell_278,tag_4,1,singlet,777
cell_279,tag_1,1,singlet,1688
cell_280,tag_1,1,singlet,569
cell_281,tag_1,1,singlet,1977
cell_282,tag_6,1,singlet,1626
cell_283,tag_5,1,singlet,1260
cell_284,tag_5,1,singlet,701
cell_285,tag_5,1,singlet,685
cell_286,tag_2,1,singlet,1046
cell_287,tag_6,1,singlet,1362
cell_288,tag_6,1,singlet,2185
cell_289,tag_1,1,singlet,1446
cell_290,tag_2,1,singlet,878
cell_291,tag_5,1,singlet,696
cell_292,tag_3,1,singlet,865
cell_293,tag_1,1,singlet,1003
cell_294,tag_1,1,singlet,866
cell_295,tag_3,1,singlet,782
cell_296,tag_3,1,singlet,955
cell_297,tag_5,1,singlet,1951
cell_298,tag_1,1,singlet,1674
cell_299,multiplet,2,multiplet,2125
cell_300,tag_3,1,singlet,1103
cell_301,tag_2,1,singlet,1140
cell_302,tag_4,1,singlet,781
cell_303,tag_6,1,singlet,1462
cell_304,tag_6,1,singlet,1086
cell_305,tag_6,1,singlet,843
cell_306,tag_3,1,singlet,1381
cell_307,tag_4,1,singlet,1504
cell_308,tag_6,1,singlet,662
cell_309,tag_3,1,singlet,782
cell_310,tag_4,1,singlet,2219
cell_311,tag_1,1,singlet,2161
cell_312,tag_4,1,singlet,1473
cell_313,tag_1,1,singlet,1861
cell_314,tag_6,1,singlet,1293
cell_315,tag_4,1,singlet,415
cell_316,tag_2,1,singlet,783
cell_317,tag_2,1,singlet,881
cell_318,tag_1,1,singlet,711
cell_319,tag_1,1,singlet,1239
cell_320,multiplet,2,multiplet,1864
cell_321,tag_3,1,singlet,1463
cell_322,tag_5,1,singlet,773
cell_323,tag_2,1,singlet,1279
cell_324,tag_6,1,singlet,578
cell_325,tag_3,1,singlet,1246
cell_326,tag_4,1,singlet,1224
cell_327,tag_3,1,singlet,879
cell_328,tag_2,1,singlet,1237
cell_329,tag_1,1,singlet,1455
cell_330,tag_5,1,singlet,1249
cell_331,tag_3,1,singlet,618
cell_332,tag_3,1,singlet,1032
cell_333,tag_3,1,singlet,2496
cell_334,tag_5,1,singlet,1931
cell_335,tag_5,1,singlet,726
cell_336,tag_1,1,singlet,2320
cell_337,tag_1,1,singlet,1363
cell_338,multiplet,2,multiplet,1758
cell_339,multiplet,2,multiplet,3273
cell_340,tag_2,1,singlet,2000
cell_341,tag_3,1,singlet,877
cell_342,tag_2,1,singlet,454
cell_343,tag_1,1,singlet,808
cell_344,tag_6,1,singlet,1359
cell_345,negative,0,negative,155
cell_346,tag_6,1,singlet,992
cell_347,negative,0,negative,122
cell_348,tag_5,1,singlet,1046
cell_349,multiplet,2,multiplet,2005
cell_350,tag_1,1,singlet,1372
cell_351,tag_5,1,singlet,1076
cell_352,tag_3,1,singlet,1234
cell_353,tag_6,1,singlet,851
cell_354,tag_3,1,singlet,1740
cell_355,tag_4,1,singlet,627
cell_356,negative,0,negative,168
cell_357,tag_2,1,singlet,2107
cell_358,tag_4,1,singlet,1612
cell_359,tag_1,1,singlet,1419
cell_360,tag_6,1,singlet,1201
cell_361,tag_3,1,singlet,1486
cell_362,negative,0,negative,110
cell_363,tag_5,1,singlet,1198
cell_364,tag_3,1,singlet,1230
cell_365,negative,0,negative,153
cell_366,tag_3,1,singlet,1266
cell_367,tag_6,1,singlet,564
cell_368,tag_2,1,singlet,515
cell_369,tag_2,1,singlet,502
cell_370,tag_6,1,singlet,829
cell_371,tag_5,1,singlet,792
cell_372,multiplet,2,multiplet,2461
cell_373,tag_2,1,singlet,734
cell_374,tag_1,1,singlet,1021
cell_375,tag_4,1,singlet,1079
cell_376,tag_2,1,singlet,882
cell_377,tag_5,1,singlet,665
cell_378,tag_4,1,singlet,1532
cell_379,negative,0,negative,100
cell_380,tag_4,1,singlet,1015
cell_381,negative,0,negative,116
cell_382,multiplet,2,multiplet,1269
cell_383,tag_6,1,singlet,612
cell_384,tag_6,1,singlet,938
cell_385,negative,0,negative,82
cell_386,tag_1,1,singlet,1960
cell_387,tag_3,1,singlet,727
cell_388,tag_1,1,singlet,754
cell_389,tag_4,1,singlet,1142
cell_390,tag_1,1,singlet,1876
cell_391,multiplet,2,multiplet,1961
cell_392,tag_1,1,singlet,649
cell_393,tag_3,1,singlet,2092
cell_394,tag_6,1,singlet,1036
cell_395,tag_1,1,singlet,778
cell_396,negative,0,negative,86
cell_397,tag_5,1,singlet,1834
cell_398,tag_3,1,singlet,2327
cell_399,tag_3,1,singlet,1211
cell_400,tag_5,1,singlet,1086
cell_401,tag_5,1,singlet,2523
cell_402,tag_3,1,singlet,1496
cell_403,negative,0,negative,116
cell_404,multiplet,2,multiplet,1900
cell_405,tag_2,1,singlet,1006
cell_406,tag_2,1,singlet,1178
cell_407,tag_5,1,singlet,559
cell_408,tag_5,1,singlet,1572
cell_409,tag_3,1,singlet,1163
cell_410,multiplet,2,multiplet,2179
cell_411,tag_6,1,singlet,999
cell_412,tag_2,1,singlet,1694
cell_413,tag_6,1,singlet,1868
cell_414,negative,0,negative,116
cell_415,tag_5,1,singlet,1232
cell_416,tag_3,1,singlet,2354
cell_417,tag_3,1,singlet,1481
cell_418,tag_1,1,singlet,1330
cell_419,tag_4,1,singlet,1898
cell_420,tag_5,1,singlet,968
cell_421,tag_3,1,singlet,1651
cell_422,tag_2,1,singlet,715
cell_423,tag_6,1,singlet,1181
cell_424,negative,0,negative,131
cell_425,tag_6,1,singlet,1358
cell_426,tag_3,1,singlet,1047
cell_427,tag_6,1,singlet,1722
cell_428,tag_2,1,singlet,1305
cell_429,tag_1,1,singlet,1952
cell_430,tag_1,1,singlet,784
cell_431,multiplet,2,multiplet,2260
cell_432,tag_5,1,singlet,937
cell_433,tag_1,1,singlet,680
cell_434,multiplet,2,multiplet,1300
cell_435,multiplet,2,multiplet,3435
cell_436,tag_5,1,singlet,516
cell_437,tag_1,1,singlet,642
cell_438,tag_3,1,singlet,1338
cell_439,tag_2,1,singlet,664
cell_440,tag_1,1,singlet,1441
cell_441,tag_3,1,singlet,1172
cell_442,tag_6,1,singlet,582
cell_443,tag_2,1,singlet,387
cell_444,tag_5,1,singlet,672
cell_445,tag_2,1,singlet,1192
cell_446,tag_5,1,singlet,1561
cell_447,tag_2,1,singlet,2162
cell_448,tag_5,1,singlet,1164
cell_449,tag_6,1,singlet,996
cell_450,tag_6,1,singlet,1943
cell_451,tag_4,1,singlet,486
cell_452,tag_3,1,singlet,1424
cell_453,negative,0,negative,118
cell_454,tag_3,1,singlet,1394
cell_455,multiplet,2,multiplet,1414
cell_456,tag_2,1,singlet,1710
cell_457,tag_5,1,singlet,817
cell_458,tag_4,1,singlet,1317
cell_459,tag_3,1,singlet,652
cell_460,tag_6,1,singlet,888
cell_461,tag_6,1,singlet,1259
cell_462,tag_4,1,singlet,736
cell_463,tag_6,1,singlet,979
cell_464,tag_3,1,singlet,752
cell_465,tag_1,1,singlet,1005
cell_466,tag_3,1,singlet,781
cell_467,tag_5,1,singlet,1013
cell_468,tag_5,1,singlet,1143
cell_469,tag_4,1,singlet,1140
cell_470,tag_6,1,singlet,1131
cell_471,tag_3,1,singlet,1422
cell_472,tag_5,1,singlet,741
cell_473,tag_6,1,singlet,1052
cell_474,tag_6,1,singlet,1800
cell_475,tag_2,1,singlet,1119
cell_476,tag_4,1,singlet,1361
cell_477,multiplet,2,multiplet,3043
cell_478,tag_5,1,singlet,1734
cell_479,tag_5,1,singlet,478
cell_480,tag_4,1,singlet,855
cell_481,tag_1,1,singlet,1482
cell_482,tag_4,1,singlet,811
cell_483,tag_3,1,singlet,977
cell_484,tag_5,1,singlet,713
cell_485,tag_4,1,singlet,752
cell_486,tag_4,1,singlet,1469
cell_487,tag_2,1,singlet,1017
cell_488,tag_3,1,singlet,2020
cell_489,tag_4,1,singlet,1252
cell_490,tag_1,1,singlet,1626
cell_491,tag_5,1,singlet,698
cell_492,tag_2,1,singlet,1006
cell_493,tag_5,1,singlet,841
cell_494,tag_2,1,singlet,756
cell_495,tag_6,1,singlet,1310
cell_496,tag_5,1,singlet,374
cell_497,tag_6,1,singlet,1007
cell_498,tag_4,1,singlet,1232
cell_499,tag_6,1,singlet,946
cell_500,tag_5,1,singlet,690
cell_501,negative,0,negative,108
cell_502,tag_6,1,singlet,501
cell_503,tag_6,1,singlet,717
cell_504,tag_6,1,singlet,818
cell_505,tag_5,1,singlet,1734
cell_506,tag_5,1,singlet,1138
cell_507,tag_1,1,singlet,365
cell_508,tag_3,1,singlet,515
cell_509,tag_5,1,singlet,2263
cell_510,tag_1,1,singlet,1524
cell_511,multiplet,2,multiplet,3290
cell_512,tag_5,1,singlet,571
cell_513,tag_6,1,singlet,1433
cell_514,multiplet,2,multiplet,1797
cell_515,tag_5,1,singlet,608
cell_516,multiplet,2,multiplet,1993
cell_517,tag_5,1,singlet,1126
cell_518,tag_3,1,singlet,979
cell_519,tag_4,1,singlet,1670
cell_520,tag_5,1,singlet,836
cell_521,tag_6,1,singlet,1174
cell_522,tag_1,1,singlet,1467
cell_523,tag_4,1,singlet,844
cell_524,tag_1,1,singlet,979
cell_525,multiplet,2,multiplet,4227
cell_526,tag_5,1,singlet,749
cell_527,multiplet,2,multiplet,1871
cell_528,tag_2,1,singlet,1440
cell_529,negative,0,negative,109
cell_530,tag_4,1,singlet,626
cell_531,tag_2,1,singlet,1105
cell_532,tag_2,1,singlet,755
cell_533,tag_3,1,singlet,2058
cell_534,tag_6,1,singlet,891
cell_535,tag_2,1,singlet,1151
cell_536,tag_2,1,singlet,889
cell_537,tag_4,1,singlet,1292
cell_538,tag_5,1,singlet,1032
cell_539,tag_3,1,singlet,1084
cell_540,tag_2,1,singlet,1129
cell_541,tag_4,1,singlet,460
cell_542,tag_1,1,singlet,1148
cell_543,tag_5,1,singlet,847
cell_544,tag_5,1,singlet,993
cell_545,tag_6,1,singlet,1863
cell_546,tag_6,1,singlet,912
cell_547,tag_6,1,singlet,1943
cell_548,tag_1,1,singlet,998
cell_549,tag_1,1,singlet,721
cell_550,tag_6,1,singlet,961
cell_551,tag_2,1,singlet,579
cell_552,tag_4,1,singlet,1134
cell_553,tag_1,1,singlet,711
cell_554,tag_4,1,singlet,798
cell_555,tag_4,1,singlet,915
cell_556,tag_5,1,singlet,544
cell_557,tag_3,1,singlet,1136
cell_558,tag_2,1,singlet,758
cell_559,tag_5,1,singlet,1017
cell_560,tag_5,1,singlet,369
cell_561,negative,0,negative,209
cell_562,tag_2,1,singlet,1205
cell_563,tag_2,1,singlet,1359
cell_564,tag_5,1,singlet,540
cell_565,tag_6,1,singlet,939
cell_566,tag_2,1,singlet,538
cell_567,tag_6,1,singlet,943
cell_568,tag_1,1,singlet,2210
cell_569,tag_5,1,singlet,730
cell_570,tag_4,1,singlet,1336
cell_571,tag_4,1,singlet,1591
cell_572,tag_3,1,singlet,1393
cell_573,tag_6,1,singlet,978
cell_574,tag_3,1,singlet,746
cell_575,tag_4,1,singlet,423
cell_576,tag_3,1,singlet,1115
cell_577,tag_5,1,singlet,1183
cell_578,tag_3,1,singlet,598
cell_579,multiplet,2,multiplet,2582
cell_580,tag_1,1,singlet,878
cell_581,tag_5,1,singlet,725
cell_582,tag_2,1,singlet,843
cell_583,multiplet,2,multiplet,2953
cell_584,tag_6,1,singlet,1937
cell_585,negative,0,negative,153
cell_586,tag_3,1,singlet,579
cell_587,tag_2,1,singlet,1300
cell_588,tag_6,1,singlet,828
cell_589,tag_2,1,singlet,1141
cell_590,tag_5,1,singlet,847
cell_591,multiplet,2,multiplet,1634
cell_592,tag_5,1,singlet,1583
cell_593,tag_3,1,singlet,1266
cell_594,tag_6,1,singlet,1823
cell_595,tag_5,1,singlet,942
cell_596,tag_6,1,singlet,1212
cell_597,tag_5,1,singlet,1265
cell_598,tag_2,1,singlet,771
cell_599,tag_6,1,singlet,1133
cell_600,tag_6,1,singlet,563
cell_601,tag_6,1,singlet,1260
cell_602,tag_1,1,singlet,1112
cell_603,tag_3,1,singlet,903
cell_604,tag_5,1,singlet,1621
cell_605,negative,0,negative,161
cell_606,tag_5,1,singlet,1430
cell_607,tag_3,1,singlet,1373
cell_608,tag_5,1,singlet,910
cell_609,tag_3,1,singlet,2300
cell_610,tag_6,1,singlet,1077
cell_611,tag_5,1,singlet,1067
cell_612,tag_4,1,singlet,1769
cell_613,tag_2,1,singlet,2293
cell_614,tag_5,1,singlet,1166
cell_615,tag_4,1,singlet,708
cell_616,tag_1,1,singlet,1285
cell_617,tag_5,1,singlet,732
cell_618,tag_1,1,singlet,796
cell_619,tag_3,1,singlet,1773
cell_620,tag_6,1,singlet,986
cell_621,tag_1,1,singlet,2308
cell_622,tag_1,1,singlet,1063
cell_623,tag_1,1,singlet,1028
cell_624,tag_5,1,singlet,2217
cell_625,tag_2,1,singlet,820
cell_626,tag_2,1,singlet,1979
cell_627,tag_1,1,singlet,1549
cell_628,tag_3,1,singlet,952
cell_629,tag_1,1,singlet,1105
cell_630,tag_1,1,singlet,1774
cell_631,tag_1,1,singlet,1183
cell_632,tag_5,1,singlet,1837
cell_633,tag_2,1,singlet,753
cell_634,tag_6,1,singlet,876
cell_635,tag_1,1,singlet,857
cell_636,tag_1,1,singlet,1680
cell_637,tag_1,1,singlet,844
cell_638,tag_5,1,singlet,1568
cell_639,tag_1,1,singlet,737
cell_640,tag_6,1,singlet,1848
cell_641,tag_6,1,singlet,1305
cell_642,tag_1,1,singlet,566
cell_643,tag_2,1,singlet,1238
cell_644,tag_4,1,singlet,959
cell_645,tag_4,1,singlet,228
cell_646,tag_1,1,singlet,960
cell_647,tag_2,1,singlet,1296
cell_648,tag_6,1,singlet,1362
cell_649,tag_4,1,singlet,897
cell_650,tag_2,1,singlet,638
cell_651,tag_2,1,singlet,1344
cell_652,tag_5,1,singlet,1142
cell_653,tag_4,1,singlet,932
cell_654,tag_1,1,singlet,1260
cell_655,tag_5,1,singlet,833
cell_656,tag_4,1,singlet,1057
cell_657,tag_5,1,singlet,540
cell_658,tag_4,1,singlet,1071
cell_659,tag_3,1,singlet,1239
cell_660,tag_6,1,singlet,1117
cell_661,tag_2,1,singlet,518
cell_662,tag_3,1,singlet,1093
cell_663,tag_4,1,singlet,801
cell_664,tag_5,1,singlet,1289
cell_665,tag_3,1,singlet,588
cell_666,tag_3,1,singlet,1479
cell_667,multiplet,2,multiplet,2409
cell_668,tag_6,1,singlet,1333
cell_669,multiplet,2,multiplet,2776
cell_670,tag_4,1,singlet,716
cell_671,tag_5,1,singlet,1115
cell_672,multiplet,2,multiplet,2069
cell_673,tag_3,1,singlet,1847
cell_674,tag_4,1,singlet,1179
cell_675,tag_4,1,singlet,784
cell_676,tag_1,1,singlet,1505
cell_677,multiplet,2,multiplet,2813
cell_678,tag_2,1,singlet,341
cell_679,tag_3,1,singlet,707
cell_680,tag_5,1,singlet,1012
cell_681,tag_5,1,singlet,1219
cell_682,tag_4,1,singlet,900
cell_683,tag_3,1,singlet,1974
cell_684,tag_3,1,singlet,784
cell_685,tag_6,1,singlet,887
cell_686,tag_1,1,singlet,1205
cell_687,tag_6,1,singlet,1218
cell_688,tag_2,1,singlet,1330
cell_689,tag_4,1,singlet,1285
cell_690,tag_1,1,singlet,1610
cell_691,tag_4,1,singlet,1226
cell_692,negative,0,negative,156
cell_693,tag_5,1,singlet,1876
cell_694,tag_4,1,singlet,975
cell_695,multiplet,2,multiplet,1811
cell_696,tag_1,1,singlet,1097
cell_697,tag_5,1,singlet,1171
cell_698,tag_5,1,singlet,1662
cell_699,tag_5,1,singlet,1242
cell_700,tag_6,1,singlet,1678
cell_701,tag_6,1,singlet,511
cell_702,tag_2,1,singlet,1722
cell_703,tag_2,1,singlet,1644
cell_704,tag_5,1,singlet,397
cell_705,tag_1,1,singlet,1008
cell_706,tag_6,1,singlet,1951
cell_707,tag_6,1,singlet,1035
cell_708,multiplet,2,multiplet,1783
cell_709,tag_1,1,singlet,757
cell_710,tag_2,1,singlet,726
cell_711,multiplet,2,multiplet,1533
cell_712,tag_3,1,singlet,629
cell_713,tag_3,1,singlet,1571
cell_714,multiplet,2,multiplet,1462
cell_715,tag_3,1,singlet,533
cell_716,tag_2,1,singlet,964
cell_717,tag_3,1,singlet,1182
cell_718,tag_6,1,singlet,1014
cell_719,tag_4,1,singlet,871
cell_720,tag_1,1,singlet,1471
cell_721,tag_2,1,singlet,1310
cell_722,tag_3,1,singlet,1115
cell_723,tag_4,1,singlet,1894
cell_724,tag_5,1,singlet,444
cell_725,tag_4,1,singlet,1142
cell_726,tag_1,1,singlet,1360
cell_727,tag_4,1,singlet,1303
cell_728,tag_3,1,singlet,1796
cell_729,tag_1,1,singlet,863
cell_730,tag_2,1,singlet,551
cell_731,tag_6,1,singlet,1207
cell_732,tag_5,1,singlet,510
cell_733,tag_2,1,singlet,1425
cell_734,tag_6,1,singlet,768
cell_735,tag_5,1,singlet,1100
cell_736,tag_6,1,singlet,1245
cell_737,tag_1,1,singlet,700
cell_738,negative,0,negative,119
cell_739,tag_4,1,singlet,1559
cell_740,tag_5,1,singlet,1263
cell_741,tag_4,1,singlet,936
cell_742,multiplet,2,multiplet,2426
cell_743,tag_4,1,singlet,594
cell_744,tag_2,1,singlet,559
cell_745,tag_3,1,singlet,1056
cell_746,tag_6,1,singlet,1003
cell_747,tag_4,1,singlet,1085
cell_748,negative,0,negative,77
cell_749,tag_6,1,singlet,1388
cell_750,tag_3,1,singlet,876
cell_751,tag_6,1,singlet,992
cell_752,multiplet,2,multiplet,2068
cell_753,tag_3,1,singlet,842
cell_754,tag_6,1,singlet,2785
